u_issue,u_reporter,u_author,u_state,u_nfiles,u_total,u_nadd,u_ndel,d_issue,d_reporter,d_author,d_state,d_nfiles,d_total,d_nadd,d_ndel,ref_author
astropy/astropy-helpers#144,embray,embray,closed,3,121,109,12,astropy/astropy#3541,josePhoenix,,closed,,,,,embray
astropy/astropy#1198,astrofrog,embray,closed,2,32,19,13,astropy/package-template#27,astrofrog,,open,,,,,astrofrog
astropy/astropy#1256,cdeil,embray,closed,6,48,46,2,gammapy/gammapy#28,cdeil,,closed,,,,,cdeil
astropy/astropy#2286,eteq,mdboom,closed,1,3,2,1,ipython/ipython#5533,eteq,,open,,,,,eteq
astropy/astropy#2774,cdeil,embray,closed,3,37,29,8,gammapy/gammapy#147,cdeil,cdeil,closed,1,2,0,2,cdeil
astropy/astropy#2818,larrybradley,embray,closed,1,3,2,1,astropy/photutils#128,larrybradley,larrybradley,closed,2,10,5,5,larrybradley
astropy/astropy#3023,taldcroft,mhvk,closed,4,53,53,0,numpy/numpy#4586,mhvk,charris,closed,4,169,151,18,mhvk
astropy/astropy#3289,Cadair,embray,closed,2,40,38,2,sunpy/sunpy#1255,wafels,ayshih,closed,1,5,5,0,Cadair
astropy/astropy#3293,Cadair,embray,closed,2,40,38,2,sunpy/sunpy#1255,wafels,ayshih,closed,1,5,5,0,Cadair
astropy/astropy#3413,astrofrog,astrofrog,closed,1,12,11,1,astropy/photutils#247,kpardeshi,,closed,,,,,astrofrog
astropy/astropy#3506,astrofrog,eteq,closed,2,26,21,5,aplpy/aplpy#239,astrofrog,,open,,,,,astrofrog
astropy/astropy#3590,zblz,taldcroft,closed,3,35,34,1,zblz/naima#73,cdeil,,closed,,,,,zblz
astropy/astropy#3627,mdboom,mdboom,closed,2,17,13,4,astropy/astroquery#498,keflavich,keflavich,closed,2,146,146,0,mdboom
astropy/astropy#3627,mdboom,mdboom,closed,2,17,13,4,astropy/astroquery#501,keflavich,,closed,,,,,mdboom
astropy/astropy#3627,mdboom,mdboom,closed,2,17,13,4,astropy/astroquery#502,mdboom,keflavich,closed,3,202,201,1,keflavich
astropy/astropy#3627,mdboom,mdboom,closed,2,17,13,4,astropy/astroquery#503,mdboom,keflavich,closed,1,36,36,0,mdboom
astropy/astropy#3798,cdeil,embray,closed,3,16,4,12,sherpa/sherpa#27,DougBurke,olaurino,closed,2,30,14,16,cdeil
astropy/astropy#3891,astrofrog,mdboom,closed,2,91,66,25,astrofrog/wcsaxes#168,astrofrog,astrofrog,closed,8,245,102,143,astrofrog
astropy/astropy#3891,astrofrog,mdboom,closed,2,91,66,25,gammapy/gammapy#286,JonathanDHarris,cdeil,closed,4,142,138,4,cdeil
astropy/astropy#3893,mdboom,mdboom,closed,2,91,66,25,astrofrog/wcsaxes#168,astrofrog,astrofrog,closed,8,245,102,143,astrofrog
astropy/astropy#3983,mdboom,nden,closed,2,28,25,3,spacetelescope/gwcs#14,nden,nden,closed,13,1511,962,549,mdboom
astropy/astropy#4098,scottransom,embray,closed,3,68,30,38,nanograv/PINT#29,paulray,,closed,,,,,paulray
astropy/astropy#4117,ayshih,ayshih,closed,1,18,18,0,sunpy/sunpy#1532,wafels,ayshih,closed,3,18,16,2,ayshih
astropy/astropy#4441,astrofrog,nden,closed,67,1163,679,484,radio-astro-tools/spectral-cube#258,astrofrog,astrofrog,closed,6,238,85,153,astrofrog
astropy/astropy#839,astrofrog,embray,closed,2,42,36,6,atpy/atpy#53,cdeil,,closed,,,,,astrofrog
astropy/astropy#950,astrofrog,mdboom,closed,1,4,3,1,astropy/package-template#19,cdeil,,closed,,,,,embray
astropy/astroquery#481,EricDepagne,keflavich,closed,2,11,7,4,astropy/astropy#3399,EricDepagne,,closed,,,,,EricDepagne
chjj/term.js#60,fperez,,open,,,,,ipython/ipython#7782,fperez,,closed,,,,,fperez
codemirror/CodeMirror#1123,zohooo,marijnh,closed,2,4,2,2,ipython/ipython#3361,fonnesbeck,,closed,,,,,Carreau
codemirror/CodeMirror#1642,jdleesmiller,,closed,,,,,ipython/ipython#3361,fonnesbeck,,closed,,,,,Zsailer
codemirror/CodeMirror#1667,ChanceWenHappy,,closed,,,,,ipython/ipython#3361,fonnesbeck,,closed,,,,,Zsailer
codemirror/CodeMirror#1686,RomanMinkin,,closed,,,,,ipython/ipython#3361,fonnesbeck,,closed,,,,,Zsailer
codemirror/CodeMirror#2228,Carreau,Carreau,closed,1,2,1,1,ipython/ipython#4988,Carreau,,closed,,,,,Carreau
