number,issue_rel,rel_time,rel_author,rel_comment,type
9648,xonsh/xonsh#726,2016-06-22 23:29:26,Carreau,1,cross
9648,ipython/ipython#9246,2016-06-22 23:29:26,Carreau,1,within
9648,ipython/ipython#9655,2016-06-23 19:12:01,Carreau,3,within
9379,ipython/ipython#9403,2016-04-15 12:09:58,minrk,6,within
9361,ipython/ipython#9365,2016-03-28 23:07:31,takluyver,2,within
9359,ipython/ipython#9360,2016-03-27 01:03:00,takluyver,2,within
9331,ipython/ipython#9282,2016-03-17 09:47:12,takluyver,1,within
9331,ipython/ipython#8738,2016-05-17 13:32:36,takluyver,2,within
9244,ipython/ipython#9243,2016-02-18 15:03:01,takluyver,0,within
9114,ipython/ipython#9114,2016-01-06 14:38:01,dsblank,6,within
8804,jaraco/setuptools#28,2015-09-10 11:36:53,rouge8,2,cross
8791,ipython/ipython#9144,2016-01-19 20:52:11,takluyver,5,within
8776,pickleshare/pickleshare#8,2015-08-27 13:36:34,chrisidefix,0,cross
8159,ipython/ipython#7985,2015-03-27 22:35:37,Carreau,2,within
8069,jupyter/notebook#973,2016-01-19 14:38:27,minrk,5,cross
8057,ipython/ipython#8059,2015-03-14 22:05:02,minrk,2,within
8056,ipython/ipython#8058,2015-03-17 18:41:17,takluyver,1,within
8055,ipython/ipython#7701,2015-03-14 20:59:07,takluyver,1,within
8055,ipython/ipython#8082,2015-03-18 23:13:27,minrk,3,within
8054,ipython/ipython#8191,2015-03-29 23:58:22,minrk,9,within
8054,ipython/ipython#8191,2015-03-30 00:19:28,ellisonbg,10,within
8054,ipython/ipython#8054,2015-03-30 00:19:28,ellisonbg,10,within
8043,ipython/ipython#8033,2015-03-13 19:29:54,takluyver,0,within
8012,ipython/ipython#5327,2015-03-10 17:21:06,jdfreder,0,within
7829,ipython/ipython#7850,2015-03-27 19:43:35,damianavila,11,within
7786,ipython/ipython#7650,2015-02-15 01:07:16,minrk,2,within
7786,ipython/ipython#7645,2015-02-15 01:07:16,minrk,2,within
7782,ipython/ipython#7242,2015-02-14 00:35:51,fperez,0,within
7753,ipython/ipython#7754,2015-02-11 22:11:39,minrk,1,within
7711,ipython/ipython#6878,2015-02-09 18:40:54,takluyver,4,within
7704,ipython/ipython#7411,2015-02-06 21:16:58,jdfreder,3,within
7698,ipython/ipython#7523,2015-02-06 03:01:53,jdfreder,2,within
7698,ipython/ipython#7703,2015-02-06 17:06:35,jdfreder,4,within
7647,ipython/ipython#4140,2015-02-02 22:21:55,minrk,7,within
7647,ipython/ipython#4140,2015-02-02 22:24:26,minrk,8,within
7641,ipython/ipython#4404,2015-01-30 23:45:47,jdfreder,1,within
7641,ipython/ipython#7623,2015-01-30 23:46:41,minrk,2,within
7599,ipython/ipython#7586,2015-01-26 18:58:48,minrk,0,within
7590,ipython/ipython#7597,2015-01-26 18:12:45,minrk,2,within
7566,ipython/ipython#7537,2015-01-24 01:13:55,takluyver,0,within
7515,ipython/ipython#7418,2015-01-20 22:56:25,jhamrick,0,within
7515,ipython/ipython#5570,2015-01-21 04:25:04,jhamrick,2,within
7484,ipython/ipython#7484,2015-01-21 00:46:46,ellisonbg,5,within
7484,ipython/ipython#7517,2015-01-21 17:52:58,minrk,7,within
7447,ipython/ipython#7414,2015-01-14 10:00:23,Carreau,1,within
7447,ipython/ipython#7347,2015-01-14 10:21:22,Carreau,3,within
7423,ipython/ipython#7457,2015-01-14 19:52:34,takluyver,1,within
7421,ipython/ipython#7369,2015-01-11 22:52:44,fonnesbeck,2,within
7421,ipython/ipython#7135,2015-01-11 22:52:58,takluyver,3,within
7418,ipython/ipython#7515,2015-01-21 04:54:13,jhamrick,11,within
7409,ipython/ipython#7372,2015-01-10 00:58:34,mathieu1,1,within
7395,codemirror/CodeMirror#3009,2015-01-08 17:23:38,juhasch,1,cross
7395,codemirror/CodeMirror#3022,2015-01-08 17:46:12,Carreau,4,cross
7351,matplotlib/matplotlib#4002,2015-01-15 00:04:23,minrk,6,cross
7349,ipython/ipython#4938,2015-01-12 17:06:08,ptone,2,within
7334,ipython/ipython#7328,2015-01-13 17:29:12,minrk,5,within
7334,ipython/ipython#7328,2015-01-13 18:18:39,jonathon-love,6,within
7317,ipython/ipython#7469,2015-01-15 00:41:10,minrk,3,within
7304,ipython/ipython#7304,2014-12-25 03:10:14,pmfeldman,2,within
7276,matplotlib/matplotlib#3932,2014-12-19 19:04:10,eyurtsev,0,cross
7237,ipython/ipython#7259,2014-12-17 18:42:18,takluyver,3,within
7237,ipython/ipython#7237,2014-12-17 20:27:10,ellisonbg,4,within
7237,ipython/ipython#7259,2014-12-17 20:27:10,ellisonbg,4,within
7236,ipython/ipython#7236,2014-12-16 17:37:27,ellisonbg,2,within
7236,ipython/ipython#7236,2014-12-16 17:48:59,ellisonbg,4,within
7100,ipython/ipython#4452,2014-12-04 01:09:15,drevicko,0,within
7100,ipython/ipython#7471,2015-01-15 04:25:08,minrk,3,within
7039,ipython/ipython#5629,2016-01-19 19:14:37,Carreau,1,within
6957,ipython/ipython#6916,2014-11-17 18:06:15,minrk,1,within
6954,ipython/ipython#7055,2014-11-29 13:23:48,Carreau,2,within
6918,ipython/ipython#6862,2014-11-13 03:16:32,rgbkrk,0,within
6918,ipython/ipython#7016,2015-01-12 02:23:55,rgbkrk,3,within
6912,ipython/ipython#8908,2015-10-26 14:32:19,minrk,3,within
6894,ipython/ipython#6109,2014-11-10 19:53:39,jamescasbon,4,within
6893,ipython/ipython#6902,2014-11-12 00:17:08,takluyver,3,within
6823,ipython/ipython#6765,2014-11-01 01:09:50,takluyver,5,within
6823,ipython/ipython#6832,2014-11-01 20:09:23,minrk,7,within
6814,ipython/ipython#6481,2014-10-30 20:55:08,jdfreder,10,within
6814,ipython/ipython#6814,2014-10-30 22:12:04,SylvainCorlay,14,within
6814,ipython/ipython#6814,2015-01-24 01:24:31,ellisonbg,18,within
6814,ipython/ipython#7602,2015-01-27 22:19:46,SylvainCorlay,19,within
6804,ipython/ipython#6804,2014-10-28 19:55:55,takluyver,1,within
6753,ipython/ipython#6753,2014-10-23 13:38:51,dsblank,3,within
6744,ipython/ipython#7426,2015-01-12 14:29:36,andram,1,within
6744,ipython/ipython#7426,2015-01-12 19:20:36,minrk,2,within
6726,ipython/ipython#6777,2014-10-17 15:58:07,kalibri1798,0,within
6726,ipython/ipython#6736,2014-10-17 15:58:07,kalibri1798,0,within
6726,ipython/ipython#5662,2014-10-17 15:58:07,kalibri1798,0,within
6726,ipython/ipython#6728,2014-10-17 18:47:36,takluyver,2,within
6726,ipython/ipython#6729,2014-10-17 18:59:37,takluyver,3,within
6726,ipython/ipython#6729,2014-10-18 13:51:18,kalibri1798,7,within
6726,ipython/ipython#6728,2014-10-18 13:51:18,kalibri1798,7,within
6726,ipython/ipython#6728,2014-10-18 17:06:37,takluyver,8,within
6726,ipython/ipython#6728,2014-10-18 18:06:47,kalibri1798,9,within
6726,ipython/ipython#6737,2014-10-19 06:07:18,kalibri1798,14,within
6726,ipython/ipython#6777,2014-10-23 11:39:59,kalibri1798,15,within
6726,ipython/ipython#6737,2014-10-23 11:39:59,kalibri1798,15,within
6724,ipython/ipython#6028,2014-10-17 13:10:12,m3nu,0,within
6724,ipython/ipython#6727,2014-10-17 17:31:44,m3nu,5,within
6578,ipython/ipython#7142,2014-12-09 15:09:55,mfitzp,2,within
6534,cells/25992790#25992790,2014-09-24 06:33:22,Carreau,0,cross
6534,ipython/ipython#6534,2015-01-15 22:54:22,ellisonbg,5,within
6534,ipython/ipywidgets#163,2015-09-21 19:03:05,jdfreder,10,cross
6518,ipython/ipython#6583,2014-10-01 19:04:32,minrk,1,within
6514,ipython/ipython#6517,2014-09-22 14:41:08,Carreau,2,within
6507,cython/cython#322,2014-09-20 15:33:19,Carreau,2,cross
6507,ipython/ipython#6510,2014-09-21 10:41:03,Carreau,3,within
6473,ipython/ipython#6585,2014-10-01 08:02:42,Carreau,3,within
6473,ipython/ipython#6585,2014-10-01 15:43:51,minrk,4,within
6442,ipython/ipython#7497,2015-01-19 00:36:49,minrk,4,within
6409,ipython/ipython#6410,2014-09-04 19:08:18,takluyver,1,within
6334,ipython/ipython#6334,2015-01-11 20:34:18,ellisonbg,14,within
6304,ipython/ipython#6305,2014-08-13 21:25:09,minrk,4,within
6304,ipython/ipython#6304,2014-08-13 22:25:35,ellisonbg,5,within
6304,ipython/ipython#6305,2014-08-13 22:25:35,ellisonbg,5,within
6262,ipython/nbconvert#91,2014-10-25 21:26:51,mforbes,3,cross
6249,ipython/ipython#6246,2014-07-31 19:04:19,minrk,0,within
