issue,id,reporter,closed_by,created_at,updated_at,closed_at,state,assignee,milestone,comments,label_name,url,title,body
xonsh/xonsh#726,139157731,asmeurer,,2016-03-08 02:27:30,2016-07-12 13:24:30,None,open,,v0.4.0,35,bug,https://api.github.com/repos/xonsh/xonsh/issues/726,b'Prompt colors are different between readline and prompt_toolkit ',"b'The readline shell looks like \r\n\r\n<img width=""143"" alt=""screen shot 2016-03-07 at 9 25 48 pm"" src=""https://cloud.githubusercontent.com/assets/71486/13590097/2e3ad716-e4ab-11e5-9ff8-4f62888ba4e4.png"">\r\n\r\nThe prompt_toolkit shell looks like\r\n\r\n<img width=""157"" alt=""screen shot 2016-03-07 at 9 26 15 pm"" src=""https://cloud.githubusercontent.com/assets/71486/13590100/38003520-e4ab-11e5-9da3-c07c55d8425b.png"">\r\n\r\nI am using BOLD_CYAN (see https://github.com/asmeurer/dotfiles/blob/a55ec501eed8e99de0e2f33d0a9031fa78569539/.xonshrc#L156).  My bash prompt looks like the readline one here, and is what I want. '"
,,,,,,,,,,,,,,
ludwigschwardt/python-gnureadline#43,72450393,bobwaycott,ludwigschwardt,2015-05-01 15:08:29,2015-11-24 09:43:54,2015-05-07 07:18:36,closed,,,11,,https://api.github.com/repos/ludwigschwardt/python-gnureadline/issues/43,b'OS X + PyPy support?',"b""Hey, I was just wondering if you've ever tried installing `python-gnureadline` with pypy?\r\n\r\nI use `pyenv` on my OS X Yosemite machine, and have a virtualenv setup for pypy. Seems I can't get the pkg to successfully install under pypy, while I have no issues under non-pypy Python 2.7.x versions installed & managed through `pyenv virtualenv`.\r\n\r\nI thought I'd check generally on your support for PyPy before filing an issue with pip failure output. No sense in doing all that if it's something you know you don't want to support, right? :)"""
pickleshare/pickleshare#8,103504203,chrisidefix,minrk,2015-08-27 13:07:03,2016-01-19 20:51:37,2016-01-19 20:51:37,closed,,,11,,https://api.github.com/repos/pickleshare/pickleshare/issues/8,b'Path was updated to 8.0 and causes incompatibility.',"b'Currently, if you update `path.py` to the latest release it no longer works with `pickleshare`. In particular, when running `ipython` you may receive this error:\r\n```\r\nTraceback (most recent call last):\r\n  File ""/usr/local/bin/ipython"", line 7, in <module>\r\n    from IPython import start_ipython\r\n  File ""/usr/local/lib/python2.7/site-packages/IPython/__init__.py"", line 48, in <module>\r\n    from .terminal.embed import embed\r\n  File ""/usr/local/lib/python2.7/site-packages/IPython/terminal/embed.py"", line 16, in <module>\r\n    from IPython.core.interactiveshell import DummyMod\r\n  File ""/usr/local/lib/python2.7/site-packages/IPython/core/interactiveshell.py"", line 31, in <module>\r\n    from pickleshare import PickleShareDB\r\n  File ""/usr/local/lib/python2.7/site-packages/pickleshare.py"", line 41, in <module>\r\n    from path import path as Path\r\nImportError: cannot import name path\r\n```\r\n\r\nSee this commit: https://github.com/jaraco/path.py/commit/62ccb7623d4d048af663f205e21c2ec3f24fa17d\r\n\r\nFor now, I just downgraded to [path.py 7.7.1](https://github.com/jaraco/path.py/releases/tag/7.7.1), but any chance you will release a fix for this?'"
jupyter/notebook#973,127459636,minrk,,2015-03-17 16:14:15,2016-06-16 08:16:12,None,open,,5.0,4,bug,https://api.github.com/repos/jupyter/notebook/issues/973,b'kernel_ready.Kernel triggered twice when creating a new notebook',"b'@neilzimmerman opened ipython/ipython#8069\n\nAny time you a pushed directly into a new notebook, the \'kernel_ready.Kernel\' is triggered twice from kernel.js. This usually happens when creating a new notebook or ""making a copy"" from within a running notebook.\r\n'"
dela3499/assay-explorer#12,85264734,dela3499,dela3499,2015-06-04 20:33:12,2015-06-05 00:20:41,2015-06-05 00:20:41,closed,,,1,bug,https://api.github.com/repos/dela3499/assay-explorer/issues/12,"b""Can't multiple-select via control-click on any of the widgets. """,
chjj/term.js#60,57677259,fperez,,2015-02-14 02:16:53,2015-02-14 03:07:23,None,open,,,2,,https://api.github.com/repos/chjj/term.js/issues/60,b'Rendering of certain whole-screen applications (like mc) is broken.',"b""# Context\r\n\r\nThis originated as ipython/ipython#7782 on IPython, but it seems that it's better reported directly here. IPython uses term.js purely as a component, wrapped in terminado, a Tornado-based async server. It then exposes the terminals in the IPython Notebook application.\r\n\r\n# The issue\r\n\r\nOn Chrome on Linux, if I set the Consolas font to being my monospaced font, when running mc (Midnight Commander) in the terminal, the computation of the column width must be wrong, b/c the page misrenders:\r\n\r\n![image](https://cloud.githubusercontent.com/assets/57394/6197637/d26ca638-b39d-11e4-8445-12a68b919157.png)\r\n\r\nThis is even more evident when an error box is drawn:\r\n\r\n![image](https://cloud.githubusercontent.com/assets/57394/6197640/db82257c-b39d-11e4-85df-2279bee71cf8.png)\r\n\r\nChecking the value of `Terminal.brokenBold` in the JS Console returns `true` with Consolas. Yet, the fix in ipython/ipython#7242 isn't helping here.\r\n\r\nFor reference, switching to another monospaced font, such as DejaVu Sans Mono, fixes the problem. So at least there's a workaround.\r\n\r\nBut even if the bug is in Consolas, it would be nice if we could make it work correctly (if viable).  Regular terminal emulators don't exhibit this behavior.  As noted by @takluyver in ipython/ipython#7242, this may not be easily fixable without way too much work. If that's the case, so be it, at least this will document the problem for future users.\r\n\r\nps - for extra details on this issue from the IPython side, see ipython/ipython#7242."""
winpython/winpython#34,52626297,stonebig,stonebig,2014-12-22 07:33:15,2015-08-02 06:57:10,2015-08-02 06:56:23,closed,,,28,help wanted,https://api.github.com/repos/winpython/winpython/issues/34,b'PyQt5 transition',"b""The Qt5 transition will occure during 2015, as Official PyQt4 support dies end 2015.\r\n==> That simplifies decisions a bit.\r\n\r\nQt5.5 , released arounf june 2015, deprecates Qt Webkit, in favor of QtWebEngine (Chromium 40).\r\n==> That looks the version to target \r\n\r\nfrom a MinRK comment:\r\n````\r\nYou need to use Qt5 for websocket support\r\nQt4 only supports the pre-release drafts of websockets, which IPython (tornado, really) doesn't support\r\n````\r\n\r\nSo having Spyder embedding a IPython Notebook means having Qt5.\r\nHaving Qt5 for Python2.7 won't happen unless Christoph Gohlke provides a binary for Python2.7\r\nhttp://python.6.x6.nabble.com/Windows-installers-for-PyQt5-and-Python2-td5036304.html\r\n\r\nThis tries to summary what needs to be done:\r\n- [x] WPPM is Qt5/Qt4 compatible on  (as Python2.7/3.3 may not make it to Qt5)\r\n- [x] do an internal alpha to see what happens\r\n- [x] IPython3 qtconsole supports roughly Qt5 (https://github.com/ipython/ipython/issues/7707)\r\n- [x] formlayout is maintained in spyder (`from spyderlib.widgets.formlayout import fedit`), but this part seems tricky to use from outside)\r\n- [x] pyqtgraph as the suggested alternative to guiqwt + PyQwt \r\n- [x] find a PyQt5 wheel (or just figure out how Pierre Raybaut was doing before)\r\n- [x] fix QtDemo icon for PyQt5\r\n- [x] workaround for `set QT_API=pyqt5' (for wppm)\r\n- [x] make.py strategy to detect install need of PyQt5\r\n- [x] Spyder master of july 16th + Qt5 patch works !\r\n- [x] Qt 5.5 + patch Winpython, for current Spyder to work\r\n- [x] Spyder 2.4 or 3.0 to support Qt5 (not 2.3)\r\n- [ ] guidata, PyQtdesignerplugins  replacement for PyQt5  (or none)\r\n- [ ] https://github.com/rwarren/qt_backport may be also a lower level solution\r\n- [ ] there seems to be  a `Six`-for-qt like solution https://github.com/avalentino/qtsix\r\n"""
spyder-ide/spyder#2108,57993137,spyder-issues-migrator,spyder-issues-migrator,2015-02-17 22:33:05,2015-02-17 22:33:07,2015-02-17 22:33:07,closed,,v2.3.3,2,2¨C5 stars;Comp-Console-IPython;Type-Bug,https://api.github.com/repos/spyder-ide/spyder/issues/2108,b'UnicodeDecodeError in the Internal console when trying to run a file with non-ascii chars and synatx errors in it',b'_From [ccordoba12](https://code.google.com/u/ccordoba12/) on 2015-01-09T09:44:45Z_\n\nThis issue is motivated by this StackOverflow question: http://stackoverflow.com/questions/27834477/unicode-decode-error-report-in-spyder?noredirect=1#comment44107369_27834477\n\n_Original issue: http://code.google.com/p/spyderlib/issues/detail?id=2108_'
codemirror/CodeMirror#3009,53013799,rheber,marijnh,2014-12-29 00:32:38,2014-12-29 12:13:47,2014-12-29 12:13:47,closed,,,1,,https://api.github.com/repos/codemirror/CodeMirror/issues/3009,b'Test fails on Firefox',b'In Firefox 33.0 on Windows 7 the test scroll_movedown_hscroll_fixed currently fails.'
