number,issue_rel,rel_time,rel_author,rel_comment,type
6509,matplotlib/matplotlib#6581,2016-06-14 02:37:02,tacaswell,3,within
6509,matplotlib/matplotlib#6581,2016-06-21 15:52:53,mdboom,4,within
6509,matplotlib/matplotlib#6581,2016-06-21 16:44:39,mdboom,6,within
6509,matplotlib/matplotlib#6581,2016-07-10 01:05:23,QuLogic,12,within
6035,matplotlib/matplotlib#6054,2016-02-23 23:29:11,afvincent,9,within
6035,matplotlib/matplotlib#6504,2016-05-30 20:34:14,QuLogic,10,within
5841,matplotlib/matplotlib#5768,2016-01-13 05:59:15,anntzer,0,within
5464,matplotlib/matplotlib#5464,2015-11-11 19:29:01,WeatherGod,1,within
5444,matplotlib/matplotlib#4873,2015-11-08 23:56:02,QuLogic,1,within
5444,matplotlib/matplotlib#5448,2015-11-09 10:11:17,zblz,2,within
5105,matplotlib/matplotlib#5106,2015-09-20 15:50:18,jkseppan,5,within
5023,matplotlib/matplotlib#5016,2015-09-04 00:36:49,mdboom,0,within
5016,matplotlib/matplotlib#4525,2015-09-01 18:55:05,tacaswell,2,within
5016,matplotlib/matplotlib#5016,2015-09-01 21:27:58,tacaswell,10,within
5016,matplotlib/matplotlib#5023,2015-09-04 00:55:30,mdboom,16,within
4947,matplotlib/matplotlib#4897,2015-08-17 23:02:18,jrevans,0,within
4947,matplotlib/matplotlib#4951,2015-08-18 03:33:26,tacaswell,5,within
4947,matplotlib/matplotlib#4951,2015-08-18 05:06:48,mdehoon,6,within
4784,matplotlib/matplotlib#178,2015-07-24 17:52:45,WeatherGod,2,within
4784,matplotlib/matplotlib#186,2015-07-24 17:52:45,WeatherGod,2,within
4784,matplotlib/matplotlib#178,2015-07-25 21:46:50,ianthomas23,6,within
4784,matplotlib/matplotlib#1928,2015-07-25 21:46:50,ianthomas23,6,within
4437,matplotlib/matplotlib#4444,2015-07-16 02:40:58,tacaswell,2,within
4421,mwaskom/seaborn#557,2015-05-12 19:22:05,tritemio,0,cross
4421,matplotlib/matplotlib#4091,2015-05-13 02:14:16,tacaswell,5,within
4323,mwaskom/seaborn#508,2015-04-10 16:00:46,anntzer,0,cross
4323,matplotlib/matplotlib#4323,2015-05-06 12:03:28,tacaswell,4,within
4318,matplotlib/matplotlib#4318,2015-04-08 13:06:42,tacaswell,7,within
4318,numpy/numpy#5755,2015-04-08 13:35:27,OceanWolf,8,cross
4318,matplotlib/matplotlib#4318,2015-04-08 17:45:31,tacaswell,10,within
4318,matplotlib/matplotlib#4318,2015-04-08 19:22:28,WeatherGod,12,within
4283,matplotlib/matplotlib#4283,2015-04-20 20:46:19,tacaswell,6,within
4283,matplotlib/matplotlib#4377,2015-06-10 15:59:49,mfitzp,9,within
4283,matplotlib/matplotlib#4513,2015-06-10 15:59:49,mfitzp,9,within
4280,matplotlib/matplotlib#4280,2015-03-26 13:41:21,WeatherGod,5,within
4262,matplotlib/matplotlib#4198,2015-03-22 19:24:26,efiring,4,within
4262,matplotlib/matplotlib#4198,2015-03-25 09:34:12,megies,5,within
4239,matplotlib/matplotlib#4197,2015-03-18 16:33:28,mdboom,1,within
4227,matplotlib/matplotlib#4228,2015-03-16 04:54:03,tacaswell,1,within
4227,matplotlib/matplotlib#4228,2015-03-16 06:31:32,u55,2,within
4185,matplotlib/matplotlib#2864,2015-03-03 22:26:09,u55,2,within
4185,matplotlib/matplotlib#2544,2015-03-03 22:44:35,u55,5,within
4185,matplotlib/matplotlib#2542,2015-03-03 22:44:35,u55,5,within
4180,matplotlib/matplotlib#4180,2015-03-03 12:00:37,tacaswell,6,within
4162,matplotlib/matplotlib#4162,2015-02-25 17:48:23,NelleV,3,within
4162,matplotlib/matplotlib#3855,2015-02-26 18:06:36,tacaswell,6,within
4162,matplotlib/matplotlib#3855,2015-02-26 18:07:04,tacaswell,7,within
4162,matplotlib/matplotlib#4162,2015-02-26 18:12:47,WeatherGod,9,within
4162,matplotlib/matplotlib#3855,2015-02-26 18:12:47,WeatherGod,9,within
4162,matplotlib/matplotlib#4162,2015-02-26 18:13:42,WeatherGod,10,within
4083,matplotlib/matplotlib#4083,2015-02-08 19:56:54,WeatherGod,7,within
4083,matplotlib/matplotlib#4079,2015-02-08 20:41:42,efiring,17,within
4083,matplotlib/matplotlib#4079,2015-02-08 20:50:45,efiring,19,within
4083,matplotlib/matplotlib#4079,2015-02-19 02:42:06,tacaswell,25,within
4053,matplotlib/matplotlib#4053,2015-01-30 14:42:58,WeatherGod,3,within
4050,matplotlib/matplotlib#4049,2015-01-29 17:19:38,mdboom,0,within
4050,matplotlib/matplotlib#4008,2015-01-29 17:19:38,mdboom,0,within
4049,matplotlib/matplotlib#4008,2015-01-29 16:18:37,tacaswell,4,within
4049,matplotlib/matplotlib#3998,2015-01-29 16:20:22,tacaswell,6,within
4049,matplotlib/matplotlib#4008,2015-01-29 16:54:34,mdboom,7,within
4043,matplotlib/matplotlib#4043,2015-01-29 15:37:16,WeatherGod,1,within
4024,matplotlib/matplotlib#4201,2015-03-08 05:24:19,cimarronm,2,within
4024,matplotlib/matplotlib#4202,2015-03-08 05:24:19,cimarronm,2,within
4024,matplotlib/matplotlib#4542,2015-08-06 16:28:09,jenshnielsen,3,within
3998,matplotlib/matplotlib#4050,2015-01-31 09:39:43,jenshnielsen,5,within
3982,matplotlib/matplotlib#3981,2015-01-08 15:00:17,tacaswell,0,within
3982,matplotlib/matplotlib#3979,2015-01-08 17:38:22,blink1073,2,within
3980,matplotlib/matplotlib#3905,2015-01-08 01:22:04,tacaswell,0,within
3980,matplotlib/matplotlib#3905,2015-01-08 01:23:35,tacaswell,1,within
3980,matplotlib/matplotlib#5631,2015-12-07 01:37:01,briantoby,2,within
3980,matplotlib/matplotlib#5631,2015-12-09 21:29:49,jenshnielsen,3,within
3977,matplotlib/matplotlib#3977,2015-01-07 16:16:19,WeatherGod,4,within
3977,matplotlib/matplotlib#3977,2015-01-07 16:30:41,WeatherGod,6,within
3977,matplotlib/matplotlib#3978,2015-01-07 16:39:49,mdboom,7,within
3962,ipython/ipython#7351,2015-01-02 16:07:16,beojan,0,cross
3962,matplotlib/matplotlib#3962,2015-01-02 16:34:58,WeatherGod,3,within
3962,matplotlib/matplotlib#3464,2015-01-02 17:09:01,tacaswell,5,within
3962,matplotlib/matplotlib#3606,2015-01-02 17:09:01,tacaswell,5,within
3962,matplotlib/matplotlib#4002,2015-01-15 15:49:20,tacaswell,11,within
3817,matplotlib/matplotlib#3817,2014-11-20 19:53:37,moghimis,2,within
3817,matplotlib/matplotlib#4025,2015-01-23 19:13:37,efiring,6,within
3817,matplotlib/matplotlib#3095,2015-01-29 20:53:55,tacaswell,8,within
3816,matplotlib/matplotlib#3816,2015-01-09 00:31:22,tacaswell,4,within
3816,matplotlib/matplotlib#4012,2015-01-19 21:13:22,tacaswell,5,within
3816,matplotlib/matplotlib#4023,2015-01-21 12:49:10,itziakos,6,within
3809,matplotlib/matplotlib#731,2014-11-17 04:10:42,tacaswell,1,within
3805,matplotlib/matplotlib#2642,2014-11-16 03:33:26,chebee7i,0,within
3805,matplotlib/matplotlib#2642,2014-11-16 19:30:26,tacaswell,2,within
3805,matplotlib/matplotlib#3808,2014-11-16 19:30:26,tacaswell,2,within
3766,matplotlib/matplotlib#3092,2014-11-09 00:36:18,tacaswell,1,within
3763,matplotlib/matplotlib#3763,2014-11-07 14:57:21,WeatherGod,1,within
3734,matplotlib/matplotlib#3905,2015-01-08 01:21:01,tacaswell,6,within
3728,matplotlib/matplotlib#3729,2014-10-28 16:53:58,tacaswell,1,within
3715,matplotlib/matplotlib#4134,2015-02-20 06:07:33,cimarronm,1,within
3633,matplotlib/matplotlib#1,2014-10-10 20:27:08,dukecld,0,within
3626,matplotlib/matplotlib#3761,2014-11-06 04:02:43,cimarronm,7,within
3622,matplotlib/matplotlib#3067,2014-10-07 21:03:17,mdboom,0,within
3622,matplotlib/matplotlib#3067,2014-10-07 21:32:02,mdboom,1,within
3622,matplotlib/matplotlib#3029,2014-10-07 21:32:02,mdboom,1,within
3622,matplotlib/matplotlib#3622,2014-10-08 01:29:10,WeatherGod,4,within
3557,matplotlib/matplotlib#3557,2014-09-24 13:28:11,WeatherGod,5,within
3557,matplotlib/matplotlib#3612,2015-01-13 05:08:53,tacaswell,6,within
3553,matplotlib/matplotlib#3514,2014-10-16 14:38:43,tacaswell,4,within
3522,matplotlib/matplotlib#3524,2014-09-27 03:49:50,tacaswell,1,within
3483,matplotlib/matplotlib#3483,2014-09-07 20:10:59,WeatherGod,2,within
3444,matplotlib/matplotlib#3192,2014-09-01 20:50:00,tacaswell,5,within
3444,matplotlib/matplotlib#3741,2014-11-10 20:20:41,jenshnielsen,8,within
3404,matplotlib/basemap#163,2014-08-26 12:50:13,tacaswell,3,cross
3392,matplotlib/matplotlib#3627,2014-10-09 13:04:47,pelson,6,within
3392,uqfoundation/dill#4,2014-10-09 16:20:56,mmckerns,9,cross
3392,matplotlib/matplotlib#3627,2014-10-10 17:01:51,tacaswell,11,within
3336,matplotlib/matplotlib#3337,2014-08-07 12:44:38,tacaswell,5,within
3316,matplotlib/matplotlib#3316,2014-07-27 17:31:08,WeatherGod,2,within
3316,matplotlib/matplotlib#3316,2014-07-27 20:41:46,ibell,3,within
