ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
vtsuperdarn/davitpy#233,6270,2016-04-06 14:41:45,w2naf,0,issue,,,,,['#262'],6,4,"['w2naf', 'Shirling-VT', 'asreimer', 'MuhammadVT']"
vtsuperdarn/davitpy#262,6270,2016-06-21 04:57:20,MuhammadVT,0,pr,,,,,[],7,3,"['MuhammadVT', 'asreimer', 'ksterne']"
mwaskom/seaborn#557,4421,,,,issue,mwaskom,2015-05-15T04:37:07Z,,close,[],10,2,"['tritemio', 'mwaskom']"
mwaskom/seaborn#508,4323,2015-04-10 16:00:16,anntzer,0,issue,mwaskom,2015-05-02T19:35:44Z,,close,[],7,2,"['anntzer', 'mwaskom']"
numpy/numpy#5755,4318,,,,issue,,,,,[],6,4,"['OceanWolf', 'juliantaylor', 'argriffing', 'ewmoore']"
mwaskom/seaborn#519,4083,2015-04-21 15:50:14,mdickinson,8,issue,mdickinson,2015-04-21T15:29:08Z,,close,[],9,2,"['mdickinson', 'mwaskom']"
ipython/ipython#7351,3962,,,,issue,minrk,2015-01-15T17:12:37Z,,close,[],9,4,"['beojan', 'tacaswell', 'minrk', 'ellisonbg']"
tonysyu/mpltools#23,3574,2014-09-27 14:21:52,tonysyu,2,issue,,,,,[],3,3,"['marcusps', 'altosaar', 'tonysyu']"
aplpy/aplpy#212,3514,2014-09-14 14:06:37,astrofrog,0,issue,astrofrog,2014-11-05T21:52:05Z,,close,['#213'],2,1,['astrofrog']
travis-ci/travis-ci#2726,3444,2014-09-01 12:02:53,jluttine,5,issue,jluttine,2014-09-01T10:37:41Z,,close,[],7,3,"['jluttine', 'joshk', 'mmoayyed']"
matthew-brett/travis-wheel-builder#2,3444,2014-10-13 03:13:18,blink1073,0,pr,,,,,[],1,2,"['blink1073', 'matthew-brett']"
matplotlib/basemap#163,3404,2014-08-26 12:48:46,tacaswell,0,issue,,,,,[],2,1,['tacaswell']
uqfoundation/dill#4,3392,,,,issue,mmckerns,2014-10-09T16:13:45Z,,close,[],24,6,"['niallrobinson', 'mmckerns', 'fperez', 'mdboom', 'pelson', 'qkhhly']"
astropy/astropy#3066,3196,2014-11-02 13:27:58,astrofrog,2,pr,,,,,[],6,4,"['astrofrog', 'keflavich', 'embray', 'mhvk']"
tbreloff/Plots.jl#163,1980,2016-03-16 01:47:22,tbreloff,17,issue,tbreloff,2016-05-04T21:42:21Z,,close,['#169'],43,4,"['diegozea', 'pkofod', 'tbreloff', 'spencerlyon2']"
ipython/ipython#2608,1530,,,,issue,bfroehle,2012-11-24T17:53:05Z,,close,[],15,7,"['jfmoulin', 'takluyver', 'rkern', 'ajhorton', 'bfroehle', 'nachopro', 'minrk']"
ipython/ipython#481,1530,2013-05-17 16:28:50,oliford,60,issue,ivanov,2013-07-17T22:48:57Z,,close,['#815'],65,15,"['klonuo', 'fperez', 'jstenar', 'epatters', 'minrk', 'takluyver', 'jkmacc', 'cboos', 'SirVer', 'rkern', 'Proletariat99', 'indiajoe', 'oliford', 'danielballan', 'ivanov']"
ipython/ipython#1184,1530,2012-11-24 21:10:45,efiring,21,issue,minrk,2014-01-29T03:56:31Z,,close,[],22,5,"['efiring', 'fperez', 'takluyver', 'jenshnielsen', 'minrk']"
ipython/ipython#1615,835,2012-04-17 00:13:41,fperez,0,pr,fperez,2012-04-18T20:05:59Z,8df0574,merge,['#1612'],9,4,"['fperez', 'minrk', 'dwf', 'ellisonbg']"
ipython/ipython#1612,835,2012-04-16 19:09:04,jdh2358,5,issue,fperez,2012-04-18T20:06:00Z,8df0574,close,['#1615'],12,3,"['dwf', 'fperez', 'jdh2358']"
mne-tools/mne-python#906,835,2013-11-19 09:58:35,dengemann,4,pr,,,,,[],7,2,"['dengemann', 'agramfort']"
ipython/ipython#2508,688,2012-10-20 08:11:24,jenshnielsen,1,issue,takluyver,2012-11-02T13:43:44Z,,close,[],13,5,"['gjx', 'jenshnielsen', 'takluyver', 'minrk', 'pelson']"
pymc-devs/pymc3#491,166,2014-02-11 22:53:58,amelio-vazquez-reina,0,issue,twiecki,2014-08-17T21:21:26Z,,close,[],2,3,"['amelio-vazquez-reina', 'jsalvatier', 'twiecki']"
