number,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
7853,pr,,,,,['#7844'],13,3,"['charris', 'njsmith', 'cgohlke']"
7844,issue,charris,2016-07-25T20:07:29Z,b9b42ee,close,['#7853'],14,4,"['cgohlke', 'pv', 'charris', 'njsmith']"
7839,pr,,,,,[],4,3,"['mattip', 'charris', 'njsmith']"
7822,issue,samuelstjean,2016-07-18T11:17:11Z,,close,[],3,3,"['samuelstjean', 'simongibbons', 'charris']"
7821,pr,,,,,[],1,1,['charris']
7819,issue,cgohlke,2016-07-12T21:52:40Z,,close,[],12,4,"['cgohlke', 'seberg', 'charris', 'juliantaylor']"
7818,pr,,,,,[],3,3,"['emmenlau', 'rgommers', 'charris']"
7817,pr,,,,,['#7819'],3,2,"['charris', 'juliantaylor']"
7816,pr,,,,,['#7813'],1,2,"['charris', 'seberg']"
7814,pr,,,,,[],1,1,['charris']
7813,issue,charris,2016-07-10T18:03:33Z,,close,"['#7816', '#7820', '#7824']",34,5,"['cgohlke', 'charris', 'juliantaylor', 'pv', 'seberg']"
7809,issue,emmenlau,2016-07-11T06:06:05Z,,close,[],10,2,"['emmenlau', 'rgommers']"
7793,pr,,,,,[],1,2,"['charris', 'ahaldane']"
7788,pr,,,,,[],6,3,"['jzwinck', 'ahaldane', 'charris']"
7760,pr,,,,,[],8,2,"['charris', 'mhvk']"
7759,pr,,,,,[],4,2,"['jjdmol', 'charris']"
7757,pr,,,,,[],2,2,"['charris', 'rainwoodman']"
7756,issue,charris,2016-06-18T13:21:55Z,#7757,close,"['#7757', '#7175']",1,1,['charris']
7747,pr,,,,,[],1,2,"['charris', 'daschaich']"
7737,pr,,,,,[],1,2,"['charris', 'rgommers']"
7736,pr,,,,,"['#7720', '#7738', '#7844']",3,3,"['charris', 'seberg', 'tacaswell']"
7735,pr,,,,,['#7707'],3,3,"['rgommers', 'matthew-brett', 'charris']"
7724,pr,,,,,[],3,4,"['charris', 'asanakoy', 'seberg', 'simongibbons']"
7719,pr,,,,,[],10,6,"['simongibbons', 'rkern', 'seberg', 'mhvk', 'jaimefrio', 'charris']"
7714,issue,charris,2016-06-08T00:13:54Z,#7715,close,['#7715'],21,3,"['aboettcher', 'charris', 'gfyoung']"
7712,pr,,,,,[],12,3,"['krischer', 'charris', 'njsmith']"
7710,issue,charris,2016-06-10T14:07:10Z,#7719,close,"['#7719', '#7724']",11,4,"['asanakoy', 'charris', 'njsmith', 'simongibbons']"
7688,pr,charris,2016-06-03T17:07:56Z,c125956,merge,[],3,2,"['rgommers', 'charris']"
7680,pr,,,,,[],1,2,"['charris', 'lesteve']"
7678,pr,,,,,[],12,3,"['lesteve', 'juliantaylor', 'charris']"
7676,pr,,,,,[],1,2,"['charris', 'rkern']"
7675,pr,,,,,[],2,2,"['rkern', 'charris']"
7672,pr,,,,,[],5,2,"['daschaich', 'charris']"
7671,pr,,,,,[],1,2,"['charris', 'seberg']"
7670,pr,,,,,[],1,2,"['charris', 'rkern']"
7669,pr,,,,,[],2,2,"['seberg', 'charris']"
7667,pr,,,,,"['#7670', '#7674']",2,2,"['rkern', 'charris']"
7665,pr,,,,,[],1,2,"['charris', 'saimn']"
7664,pr,,,,,"['#3939', '#7806']",9,3,"['seberg', 'ahaldane', 'charris']"
7662,issue,charris,2016-06-03T17:08:11Z,e928bd9,close,[],5,2,"['victoriastuart', 'rgommers']"
7660,pr,,,,,[],2,2,"['ahaldane', 'charris']"
7659,pr,,,,,[],2,2,"['ahaldane', 'charris']"
7658,pr,,,,,['#7621'],1,2,"['saimn', 'charris']"
7648,issue,charris,2016-05-19T20:24:57Z,#7651,close,"['#7649', '#7651']",6,5,"['jakevdp', 'navneethc', 'ewmoore', 'mhvk', 'charris']"
7638,pr,,,,,[],1,2,"['charris', 'rgommers']"
7629,issue,charris,2016-05-14T16:51:28Z,,close,['#6595'],8,5,"['tadeu', 'jaimefrio', 'njsmith', 'rkern', 'charris']"
7628,issue,charris,2016-05-24T16:29:19Z,#7667,close,"['#7667', '#7670']",15,3,"['rkern', 'charris', 'astrofrog']"
7618,pr,,,,,[],2,2,"['ahaldane', 'charris']"
7609,pr,,,,,[],3,2,"['eric-wieser', 'charris']"
7606,issue,charris,2016-05-14T23:44:58Z,1e2bc0e,close,[],2,2,"['lovebug356', 'rgommers']"
7598,pr,,,,,[],10,3,"['drasmuss', 'njsmith', 'charris']"
7597,pr,,,,,[],1,2,"['charris', 'eric-wieser']"
7590,pr,,,,,['#7707'],1,2,"['charris', 'ssbarnea']"
7586,pr,,,,,['#7585'],9,3,"['eric-wieser', 'ahaldane', 'charris']"
7585,issue,charris,2016-05-02T15:37:31Z,,close,['#7586'],6,2,"['eric-wieser', 'charris']"
7584,pr,,,,,['#7707'],16,5,"['ssbarnea', 'pv', 'charris', 'dejlek', 'steveholden']"
7583,pr,,,,,[],7,2,"['eric-wieser', 'charris']"
7578,pr,,,,,[],1,2,"['charris', 'mlamarre']"
7576,pr,,,,,[],14,4,"['ssbarnea', 'charris', 'pv', 'njsmith']"
7568,pr,,,,,[],4,2,"['mlamarre', 'charris']"
7565,pr,,,,,[],3,2,"['tadeu', 'charris']"
7563,pr,,,,,['#7561'],9,4,"['tadeu', 'pv', 'charris', 'njsmith']"
7562,pr,,,,,['#7561'],17,2,"['tadeu', 'charris']"
7558,pr,,,,,[],1,2,"['charris', 'chiffa']"
7551,pr,,,,,[],1,2,"['charris', 'matthew-brett']"
7549,pr,,,,,[],8,4,"['matthew-brett', 'njsmith', 'zerothi', 'charris']"
7535,pr,,,,,[],1,2,"['charris', 'nforro']"
7530,pr,,,,,[],1,2,"['charris', 'simongibbons']"
7528,issue,charris,2016-04-08T16:08:00Z,#7529,close,"['#7529', '#7530']",4,2,"['simongibbons', 'charris']"
7522,pr,,,,,[],4,2,"['splendido', 'charris']"
7515,pr,,,,,['#7819'],5,3,"['ahaldane', 'charris', 'cgohlke']"
7506,pr,,,,,['#7498'],2,3,"['charris', 'njsmith', 'ev-br']"
