issue,id,reporter,closed_by,created_at,updated_at,closed_at,state,assignee,milestone,comments,label_name,url,title,body
pydata/pandas#13684,165968609,xflr6,xflr6,2016-07-17 09:25:59,2016-07-21 01:17:37,None,open,,0.19.0,14,Compat,https://api.github.com/repos/pydata/pandas/issues/13684,b'DataFrame.__repr__ raises TypeError after pd.show_versions() was run',"b'Maybe one of the imports in `show_versions` has unwanted side effects?\r\n\r\n```python\r\n>>> import pandas as pd\r\n>>> pd.DataFrame({\'spam\': range(10)})\r\n   spam\r\n0     0\r\n1     1\r\n2     2\r\n3     3\r\n4     4\r\n5     5\r\n6     6\r\n7     7\r\n8     8\r\n9     9\r\n>>> pd.show_versions()\r\n\r\nINSTALLED VERSIONS\r\n------------------\r\ncommit: None\r\npython: 2.7.12.final.0\r\npython-bits: 64\r\nOS: Windows\r\nOS-release: 7\r\nmachine: AMD64\r\nprocessor: Intel64 Family 6 Model 42 Stepping 7, GenuineIntel\r\nbyteorder: little\r\nLC_ALL: None\r\nLANG: None\r\n\r\npandas: 0.18.1\r\nnose: 1.3.7\r\npip: 8.1.2\r\nsetuptools: 24.0.3\r\nCython: 0.24.1\r\nnumpy: 1.11.1\r\nscipy: 0.18.0rc2\r\nstatsmodels: None\r\nxarray: None\r\nIPython: 5.0.0\r\nsphinx: 1.4.5\r\npatsy: 0.4.1\r\ndateutil: 2.5.3\r\npytz: 2016.6.1\r\nblosc: None\r\nbottleneck: 1.1.0\r\ntables: None\r\nnumexpr: 2.6.0\r\nmatplotlib: 1.5.1\r\nopenpyxl: 2.3.5\r\nxlrd: 1.0.0\r\nxlwt: None\r\nxlsxwriter: None\r\nlxml: 3.6.0\r\nbs4: None\r\nhtml5lib: 0.999999999\r\nhttplib2: 0.9.2\r\napiclient: None\r\nsqlalchemy: 1.0.14\r\npymysql: None\r\npsycopg2: 2.6.2 (dt dec pq3 ext lo64)\r\njinja2: 2.8\r\nboto: None\r\npandas_datareader: None\r\n>>> pd.DataFrame({\'spam\': range(10)})\r\n\r\nTraceback (most recent call last):\r\n  File ""<pyshell#3>"", line 1, in <module>\r\n    pd.DataFrame({\'spam\': range(10)})\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\core\\base.py"", line 67, in __repr__\r\n    return str(self)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\core\\base.py"", line 47, in __str__\r\n    return self.__bytes__()\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\core\\base.py"", line 59, in __bytes__\r\n    return self.__unicode__().encode(encoding, \'replace\')\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\core\\frame.py"", line 535, in __unicode__\r\n    line_width=width, show_dimensions=show_dimensions)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\core\\frame.py"", line 1488, in to_string\r\n    formatter.to_string()\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 549, in to_string\r\n    strcols = self._to_str_columns()\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 467, in _to_str_columns\r\n    str_index = self._get_formatted_index(frame)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 746, in _get_formatted_index\r\n    fmt_index = [index.format(name=show_index_names, formatter=fmt)]\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\indexes\\base.py"", line 1462, in format\r\n    return self._format_with_header(header, **kwargs)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\indexes\\base.py"", line 1486, in _format_with_header\r\n    result = _trim_front(format_array(values, None, justify=\'left\'))\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 2007, in format_array\r\n    return fmt_obj.get_result()\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 2027, in get_result\r\n    return _make_fixed_width(fmt_values, self.justify)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 2394, in _make_fixed_width\r\n    max_len = np.max([adj.len(x) for x in strings])\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\numpy\\core\\fromnumeric.py"", line 2293, in amax\r\n    out=out, **kwargs)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\numpy\\core\\_methods.py"", line 26, in _amax\r\n    return umr_maximum(a, axis, None, out, keepdims)\r\nTypeError: an integer is required\r\n```\r\n'"
pydata/pandas#13684,165968609,xflr6,xflr6,2016-07-17 09:25:59,2016-07-21 01:17:37,None,open,,0.19.0,14,Compat,https://api.github.com/repos/pydata/pandas/issues/13684,b'DataFrame.__repr__ raises TypeError after pd.show_versions() was run',"b'Maybe one of the imports in `show_versions` has unwanted side effects?\r\n\r\n```python\r\n>>> import pandas as pd\r\n>>> pd.DataFrame({\'spam\': range(10)})\r\n   spam\r\n0     0\r\n1     1\r\n2     2\r\n3     3\r\n4     4\r\n5     5\r\n6     6\r\n7     7\r\n8     8\r\n9     9\r\n>>> pd.show_versions()\r\n\r\nINSTALLED VERSIONS\r\n------------------\r\ncommit: None\r\npython: 2.7.12.final.0\r\npython-bits: 64\r\nOS: Windows\r\nOS-release: 7\r\nmachine: AMD64\r\nprocessor: Intel64 Family 6 Model 42 Stepping 7, GenuineIntel\r\nbyteorder: little\r\nLC_ALL: None\r\nLANG: None\r\n\r\npandas: 0.18.1\r\nnose: 1.3.7\r\npip: 8.1.2\r\nsetuptools: 24.0.3\r\nCython: 0.24.1\r\nnumpy: 1.11.1\r\nscipy: 0.18.0rc2\r\nstatsmodels: None\r\nxarray: None\r\nIPython: 5.0.0\r\nsphinx: 1.4.5\r\npatsy: 0.4.1\r\ndateutil: 2.5.3\r\npytz: 2016.6.1\r\nblosc: None\r\nbottleneck: 1.1.0\r\ntables: None\r\nnumexpr: 2.6.0\r\nmatplotlib: 1.5.1\r\nopenpyxl: 2.3.5\r\nxlrd: 1.0.0\r\nxlwt: None\r\nxlsxwriter: None\r\nlxml: 3.6.0\r\nbs4: None\r\nhtml5lib: 0.999999999\r\nhttplib2: 0.9.2\r\napiclient: None\r\nsqlalchemy: 1.0.14\r\npymysql: None\r\npsycopg2: 2.6.2 (dt dec pq3 ext lo64)\r\njinja2: 2.8\r\nboto: None\r\npandas_datareader: None\r\n>>> pd.DataFrame({\'spam\': range(10)})\r\n\r\nTraceback (most recent call last):\r\n  File ""<pyshell#3>"", line 1, in <module>\r\n    pd.DataFrame({\'spam\': range(10)})\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\core\\base.py"", line 67, in __repr__\r\n    return str(self)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\core\\base.py"", line 47, in __str__\r\n    return self.__bytes__()\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\core\\base.py"", line 59, in __bytes__\r\n    return self.__unicode__().encode(encoding, \'replace\')\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\core\\frame.py"", line 535, in __unicode__\r\n    line_width=width, show_dimensions=show_dimensions)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\core\\frame.py"", line 1488, in to_string\r\n    formatter.to_string()\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 549, in to_string\r\n    strcols = self._to_str_columns()\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 467, in _to_str_columns\r\n    str_index = self._get_formatted_index(frame)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 746, in _get_formatted_index\r\n    fmt_index = [index.format(name=show_index_names, formatter=fmt)]\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\indexes\\base.py"", line 1462, in format\r\n    return self._format_with_header(header, **kwargs)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\indexes\\base.py"", line 1486, in _format_with_header\r\n    result = _trim_front(format_array(values, None, justify=\'left\'))\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 2007, in format_array\r\n    return fmt_obj.get_result()\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 2027, in get_result\r\n    return _make_fixed_width(fmt_values, self.justify)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\pandas\\formats\\format.py"", line 2394, in _make_fixed_width\r\n    max_len = np.max([adj.len(x) for x in strings])\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\numpy\\core\\fromnumeric.py"", line 2293, in amax\r\n    out=out, **kwargs)\r\n  File ""C:\\Program Files\\Python27\\lib\\site-packages\\numpy\\core\\_methods.py"", line 26, in _amax\r\n    return umr_maximum(a, axis, None, out, keepdims)\r\nTypeError: an integer is required\r\n```\r\n'"
CellProfiler/CellProfiler#2113,161995570,emmenlau,emmenlau,2016-06-23 18:48:18,2016-07-11 06:08:23,2016-07-11 06:08:23,closed,,,2,,https://api.github.com/repos/CellProfiler/CellProfiler/issues/2113,b'Error compiling CellProfiler 2.2.0 on Ubuntu 16.04',"b'This is a report only to track a problem compiling CellProfiler 2.2.0 on Ubuntu 16.04. Its not meant necessarily to be fixed by CellProfiler developers, but rather to keep track of the problem.\r\n```\r\n#> python setup.py install\r\n```\r\nwill run for a while and then exit with\r\n```\r\nsetuptools.sandbox.UnpickleableException: CompilerCrash((<FileSourceDescriptor:/tmp/easy_install-3_Byeq/pandas-0.18.1/pandas/algos.pyx>, 1, 0), \'RemoveUnreachableCode\', u\'Compiler crash in RemoveUnreachableCode\\n\\nModuleNode.body = StatListNode(algos.pyx:1:0)\\n\\nCompiler crash traceback from this point on:\\n  File ""Cython/Compiler/Visitor.py"", line 183, in Cython.Compiler.Visitor.TreeVisitor._visit (/build/cython-qP7c_y/cython-0.23.4/Cython/Compiler/Visitor.c:4646)\\n    return handler_method(obj)\\n  File ""/usr/lib/python2.7/dist-packages/Cython/Compiler/ParseTreeTransforms.py"", line 2158, in visit_StatListNode\\n    if not self.current_directives[\\\'remove_unreachable\\\']:\\nTypeError: \\\'NoneType\\\' object has no attribute \\\'__getitem__\\\'\', TypeError(""\'NoneType\' object has no attribute \'__getitem__\'"",), <traceback object at 0x7f5f8d2fb560>)\r\nError in atexit._run_exitfuncs:\r\nTraceback (most recent call last):\r\n  File ""/usr/lib/python2.7/atexit.py"", line 24, in _run_exitfuncs\r\n    func(*targs, **kargs)\r\n  File ""/usr/lib/python2.7/dist-packages/numpy/distutils/misc_util.py"", line 27, in clean_up_temporary_directory\r\n    for d in _tmpdirs:\r\nTypeError: \'NoneType\' object is not iterable\r\nError in atexit._run_exitfuncs:\r\nTraceback (most recent call last):\r\n  File ""/usr/lib/python2.7/atexit.py"", line 24, in _run_exitfuncs\r\n    func(*targs, **kargs)\r\n  File ""/usr/lib/python2.7/dist-packages/numpy/distutils/misc_util.py"", line 27, in clean_up_temporary_directory\r\n    for d in _tmpdirs:\r\nTypeError: \'NoneType\' object is not iterable\r\nError in sys.exitfunc:\r\nTraceback (most recent call last):\r\n  File ""/usr/lib/python2.7/atexit.py"", line 24, in _run_exitfuncs\r\n    func(*targs, **kargs)\r\n  File ""/usr/lib/python2.7/dist-packages/numpy/distutils/misc_util.py"", line 27, in clean_up_temporary_directory\r\n    for d in _tmpdirs:\r\nTypeError: \'NoneType\' object is not iterable\r\n```\r\n'"
nipy/nibabel#446,148085681,arokem,,2016-04-13 14:50:34,2016-07-25 08:21:03,None,open,,,31,,https://api.github.com/repos/nipy/nibabel/issues/446,b'TST: Add testing on Python 3.5 on Appveyor.',b'Feel free to ignore this. I am trying to understand the failures I am seeing over here: https://github.com/conda-forge/staged-recipes/pull/284'
,,,,,,,,,,,,,,
astropy/astropy#4950,155642213,jakevdp,mhvk,2016-05-19 02:32:55,2016-05-20 19:09:54,2016-05-20 19:09:54,closed,,v1.2.0,25,Affects-dev;Bug;stats,https://api.github.com/repos/astropy/astropy/issues/4950,b'BUG: fix integer roundoff corner case in Lomb-Scargle',b'EDIT: Fixes #4954'
pydata/pandas#12810,146284924,gfyoung,jreback,2016-04-06 11:35:00,2016-05-01 15:15:13,2016-05-01 15:11:59,closed,,0.18.1,44,Compat,https://api.github.com/repos/pydata/pandas/issues/12810,b'COMPAT: Expand compatibility with fromnumeric.py',"b'Fixes up OR addresses what are AFAICT almost if not all of the incompatibilities `pandas` currently has with `numpy.core.fromnumeric`.  My goodness, were there a lot of them.\r\n\r\nCloses #12638.\r\nCloses #12644.\r\nCloses #12687.'"
scipy/scipy#5987,142366881,gfyoung,perimosocordiae,2016-03-21 14:31:19,2016-05-01 00:38:35,2016-05-01 00:38:35,closed,,,8,scipy.sparse,https://api.github.com/repos/scipy/scipy/issues/5987,"b""Compatibility issues with numpy's fromnumeric.py""","b'xref <a href=""https://github.com/pydata/pandas/issues/12644"">#12644 </a> (`pandas`)\r\n\r\nWhile doing a spot check for my `numpy` PR <a href=""https://github.com/numpy/numpy/pull/7325"">#7325</a> in `scipy`, I came across many <i>current</i> incompatibilities between functions defined in numpy\'s `fromnumeric.py` module <a href=""https://github.com/numpy/numpy/blob/master/numpy/core/fromnumeric.py"">here</a> that have identically-named but differently implemented methods/functions in `scipy.sparse`.\r\n\r\nIn particular, the ones that I have found so far are:\r\n\r\n`mean`\r\n`reshape`\r\n`sum`\r\n`transpose`\r\n\r\nIn `pandas`, what we have chosen to do is ""swallow"" incompatible arguments with an `*args` argument because `numpy` passes them in positionally internally even though the signature uses keyword.  However, I don\'t know what the protocol here is (or should be) in `scipy`.'"
pydata/pandas#12644,141307361,gfyoung,jreback,2016-03-16 15:22:15,2016-05-01 15:11:59,2016-05-01 15:11:59,closed,,0.18.1,12,API Design;Compat,https://api.github.com/repos/pydata/pandas/issues/12644,"b""Compatibility issues with numpy's fromnumeric.py""","b'A recent spate of issues/PR\'s stemming from calling functions defined in numpy\'s `fromnumeric.py` module <a href=""https://github.com/numpy/numpy/blob/master/numpy/core/fromnumeric.py"">here</a> that have identically-named but differently implemented methods/functions in `pandas` is indicative of a much larger compatibility issue between the two libraries with this module.  A thorough overview of all of the functions from the `fromnumeric.py` module and cross-referencing them to implementations in `pandas` is needed to avoid similar issues.\r\n\r\nRelevant PRs:\r\n\r\n#12413 (issue: #12238)\r\n#12603 (issue: #12600)\r\n#12638\r\n\r\n<a href=""https://github.com/numpy/numpy/pull/7325"">#7325</a> (from `numpy`)'"
pydata/pandas#12687,142666712,jreback,jreback,2016-03-22 14:28:20,2016-05-01 15:11:59,2016-05-01 15:11:59,closed,,0.18.1,11,Compat,https://api.github.com/repos/pydata/pandas/issues/12687,b'COMPAT: breakage with just merged: https://github.com/numpy/numpy/pull/7325',b'see [here](https://travis-ci.org/pydata/pandas/jobs/117710492)\r\nxref #12603 \r\n#12644 \r\n\r\n[numpy issue 7325](https://github.com/numpy/numpy/pull/7325)\r\n\r\ncc @gfyoung \r\ncc @njsmith'
