issue,id,reporter,closed_by,created_at,updated_at,closed_at,state,assignee,milestone,comments,label_name,url,title,body
6902,160855909,LeonieBorne,agramfort,2016-06-17 10:13:31,2016-07-23 20:29:29,2016-07-23 20:29:28,closed,,,5,Bug;Easy,https://api.github.com/repos/scikit-learn/scikit-learn/issues/6902,b'RadiusNeighborsClassifier: possible problem with outliers class?',"b'Hi,\r\n\r\nWhen I use the RadiusNeighborsClassifier with an outlier class, I get this message : \r\n\r\n```ruby\r\nTraceback (most recent call last):\r\n\r\n  File ""<ipython-input-238-0224ec628811>"", line 17, in <module>\r\n    scores.append(clf.score(X_test, y_test))\r\n\r\n  File ""/volatile/anaconda2/lib/python2.7/site-packages/sklearn/base.py"", line 310, in score\r\n    return accuracy_score(y, self.predict(X), sample_weight=sample_weight)\r\n\r\n  File ""/volatile/anaconda2/lib/python2.7/site-packages/sklearn/neighbors/classification.py"", line 379, in predict\r\n    in zip(pred_labels[inliers], weights)],\r\n\r\n  File ""/volatile/anaconda2/lib/python2.7/site-packages/sklearn/utils/extmath.py"", line 404, in weighted_mode\r\n    w = np.zeros(a.shape, dtype=w.dtype) + w\r\n\r\nValueError: operands could not be broadcast together with shapes (101,) (82,) \r\n```\r\n\r\nI\'m wondering if the line `in zip(pred_labels[inliers], weights)] `needs to be replaced with `in zip(pred_labels[inliers], weights[inliers])]`. \r\nI\'m using the version 0.17.1 of sklearn.\r\n\r\n\r\n'"
6795,155538483,gioelelm,jnothman,2016-05-18 15:55:07,2016-05-25 13:07:38,2016-05-25 13:07:38,closed,,,1,Bug;Easy,https://api.github.com/repos/scikit-learn/scikit-learn/issues/6795,"b""LogisticRegressionCV with class_weights='balanced'""","b'When calling LogisticRegressionCV fit method after setting class_weight as \'balanced\', I get the following error:\r\n\r\n> /Users/admin/anaconda/lib/python2.7/site-packages/sklearn/linear_model/logistic.py in logistic_regression_path(X, y, pos_class, Cs, fit_intercept, max_iter, tol, verbose, solver, coef, copy, class_weight, dual, penalty, intercept_scaling, multi_class, random_state, check_input, max_squared_sum, sample_weight)\r\n>     606                 class_weight = temp.copy()\r\n>     607             else:\r\n> --> 608                 raise ValueError(""In LogisticRegressionCV the lib linear ""\r\n>     609                                  ""solver cannot handle multiclass with ""\r\n>     610                                  ""class_weight of type dict. Use the lbfgs, ""\r\n> \r\n> ValueError: In LogisticRegressionCV the liblinear solver cannot handle multiclass with class_weight of type dict. Use the lbfgs, newton-cg or sag solvers or set class_weight=\'balanced\'\r\n\r\nThe code below should replicate the issue:\r\n\r\n```python\r\nLR = LogisticRegressionCV( solver=\'liblinear\', multi_class=\'ovr\',class_weight=\'balanced\',)\r\nLR.fit(np.random.normal(0,1,(1000,2000)), np.random.randint(0,5,1000))\r\n```\r\n\r\nA quick look at the source suggests me that the problem is that the class_weight get passed to logistic_regression_path after being transformed into a dictionary, therefore the line 600 at logistic.py will always evaluate as True:\r\n\r\n`if isinstance(class_weight, dict) or multi_class == \'multinomial\':`\r\n\r\nHowever making minor changes (e.g passing self.class_weight instead of class_weight) to the code did not fix the issue and resulted in other errors so I pass the issue to the experts.'"
6793,155463670,mbatchkarov,ogrisel,2016-05-18 10:07:35,2016-05-26 11:51:28,2016-05-26 11:51:18,closed,,0.18,2,Bug;Easy,https://api.github.com/repos/scikit-learn/scikit-learn/issues/6793,b'NMF incorrectly raises ValueError',"b'<!--\r\nIf your issue is a usage question, submit it here instead:\r\n- StackOverflow with the scikit-learn tag: http://stackoverflow.com/questions/tagged/scikit-learn\r\n- Mailing List: https://lists.sourceforge.net/lists/listinfo/scikit-learn-general\r\nFor more information, see User Questions: http://scikit-learn.org/stable/support.html#user-questions\r\n-->\r\n\r\n<!-- Instructions For Filing a Bug: https://github.com/scikit-learn/scikit-learn/blob/master/CONTRIBUTING.md#filing-bugs -->\r\n\r\n#### Description\r\nNMF raises the following error: `ValueError: Number of components must be positive; got (n_components=10)`.\r\n\r\nThere are two problem that I can see:\r\n\r\n- [this line](https://github.com/scikit-learn/scikit-learn/blob/master/sklearn/decomposition/nmf.py#L750) checks the type of `n_components`, but ignores the possibility that it might be something like `np.int64`. The next two checks (`tol` and `max_iter`) are correct.\r\n- the error message is uninformative. The problem has nothing to do with `n_components` not being positive\r\n\r\n#### Steps/Code to Reproduce\r\n```python\r\nimport numpy as np\r\nfrom sklearn.naive_bayes import MultinomialNB\r\nfrom sklearn.decomposition import NMF\r\nfrom sklearn.pipeline import Pipeline\r\nfrom sklearn.learning_curve import validation_curve\r\n\r\nimport platform; print(""Platform"", platform.platform())\r\nimport sys; print(""Python"", sys.version)\r\nimport numpy; print(""NumPy"", numpy.__version__)\r\nimport scipy; print(""SciPy"", scipy.__version__)\r\nimport sklearn; print(""Scikit-Learn"", sklearn.__version__)\r\n\r\nX = np.random.random((100, 100))\r\ny = [0] * 50 + [1] * 50\r\n\r\npipe = Pipeline([\r\n    (\'nmf\', NMF(n_components=10)),\r\n    (\'clf\', MultinomialNB())\r\n])\r\n\r\n# runs fine because nmf__n_components is a Python int\r\ntrain_scores, valid_scores = validation_curve(pipe, X, y, ""nmf__n_components"",range(10, 21, 10))\r\n\r\n# ValueError: Number of components must be positive; got (n_components=10)\r\n# because nmf__n_components is np.int64\r\ntrain_scores, valid_scores = validation_curve(pipe, X, y, ""nmf__n_components"", np.arange(10, 21, 10))\r\n```\r\n\r\n#### Expected Results\r\nNo error is thrown.\r\n\r\n#### Actual Results\r\n`ValueError: Number of components must be positive; got (n_components=10)`\r\n\r\n#### Versions\r\nPlatform Darwin-14.5.0-x86_64-i386-64bit\r\nPython 3.4.4 |Anaconda 2.5.0 (x86_64)| (default, Jan  9 2016, 17:30:09) \r\n[GCC 4.2.1 (Apple Inc. build 5577)]\r\nNumPy 1.10.4\r\nSciPy 0.17.0\r\nScikit-Learn 0.17.1'"
6764,153193326,geekoala,ogrisel,2016-05-05 08:56:18,2016-05-10 07:32:15,2016-05-10 07:32:15,closed,,0.18,5,Bug,https://api.github.com/repos/scikit-learn/scikit-learn/issues/6764,b'[MRG+1] Fix bug in SquaredEpsilonInsensitive loss function #6728',"b'<!--\r\nThanks for contributing a pull request! Please ensure you have taken a look at\r\nthe contribution guidelines: https://github.com/scikit-learn/scikit-learn/blob/master/CONTRIBUTING.md#Contributing-Pull-Requests\r\n-->\r\n#### Reference Issue\r\nThis PR comes to fix #6728 .\r\n\r\n\r\n#### What does this implement/fix? Explain your changes.\r\n+ Condition of if statement is incorrect in linear_model.SquaredEpsilonInsensitive(loss function) when p - y > epsilon. It should be z < -epsilon where z = y - p.\r\n+ Added tests for each Cython class on the gradient values in SGD.\r\n\r\n<!--\r\nPlease be aware that we are a loose team of volunteers so patience is\r\nnecessary; assistance handling other issues is very welcome. We value\r\nall user contributions, no matter how minor they are. If we are slow to\r\nreview, either the pull request needs some benchmarking, tinkering,\r\nconvincing, etc. or more likely the reviewers are simply busy. In either\r\ncase, we ask for your understanding during the review process.\r\nFor more information, see our FAQ on this topic:\r\nhttp://scikit-learn.org/dev/faq.html#why-is-my-pull-request-not-getting-any-attention.\r\n\r\nThanks for contributing!\r\n-->\r\n\r\n'"
6728,151536528,perhapszzy,ogrisel,2016-04-28 02:42:30,2016-05-10 07:32:15,2016-05-10 07:32:15,closed,,,1,Bug,https://api.github.com/repos/scikit-learn/scikit-learn/issues/6728,b'Bug in loss function in SquaredEpsilonInsensitive?',"b'https://github.com/scikit-learn/scikit-learn/blob/acdaeaf5dd2577855b09a23862489d7b10faeaa3/sklearn/linear_model/sgd_fast.pyx#L322\r\n\r\nShouldn\'t this line be ```z < -self.epsilon``` (add the ""-"" before self.epsilon)'"
6724,151269688,jnothman,jnothman,2016-04-27 00:23:41,2016-05-14 13:55:24,2016-05-14 13:55:24,closed,,0.18,6,Bug;Needs Review,https://api.github.com/repos/scikit-learn/scikit-learn/issues/6724,b'[MRG+2] FIX bug where expected_mutual_information may miscalculate',"b""Fixes #6718 ~~but I don't understand why, hence have no unit test :/~~"""
6718,151135761,jnothman,jnothman,2016-04-26 13:30:09,2016-05-14 13:55:24,2016-05-14 13:55:24,closed,,,1,Bug,https://api.github.com/repos/scikit-learn/scikit-learn/issues/6718,b'Cythonized expected_mutual_information disagrees with former version',"b""[This SO post](http://stackoverflow.com/questions/36865542/adjusted-mutual-information-scikit-learn) appears to highlight a long-standing bug introduced in 9cf5f00eb20cefbd9160ed8ac6be76ec1c8ea51e, shortly after `expected_mutual_information` was rewritten in cython. See #1334\r\n\r\nUsing the SO poster's data:\r\n```python\r\nimport urllib  # py2\r\nimport ast\r\nimport numpy as np\r\nfrom sklearn.metrics import cluster\r\npred = np.array(ast.literal_eval(urllib.urlopen('http://pastebin.com/raw/hJz1M4sf').read()))\r\ntrue = np.array(ast.literal_eval(urllib.urlopen('http://pastebin.com/raw/9Y5TE6b7').read()))\r\nprint(cluster.expected_mutual_information(cluster.contingency_matrix(pred,true), len(pred)))\r\n```\r\n\r\noutput prior to 9cf5f00eb20cefbd9160ed8ac6be76ec1c8ea51e: 0.000307845374016.\r\n\r\noutput since 9cf5f00eb20cefbd9160ed8ac6be76ec1c8ea51e: 1.53843820095.\r\n"""
6499,138884898,MechCoder,amueller,2016-03-07 04:32:23,2016-03-07 17:23:10,2016-03-07 17:23:10,closed,,,2,API;Blocker;Bug;Documentation;Easy;Enhancement;Large Scale;Moderate;Need Contributor;Needs Review;New Feature,https://api.github.com/repos/scikit-learn/scikit-learn/issues/6499,b'10000 Stars !!',b':+1: :pizza: :cake: :beer: :beers: :wine_glass: :curry: :sake: :fireworks: :rice_cracker: :100: '
6443,136011440,dsquareindia,dsquareindia,2016-02-24 09:57:38,2016-02-29 21:49:01,2016-02-29 21:49:01,closed,,,5,Bug,https://api.github.com/repos/scikit-learn/scikit-learn/issues/6443,b'nosetests -v sklearn/ giving errors on master',"b'Versions used:\r\n - Python 2.7.11\r\n - Sklearn 0.18.dev0\r\n - Scipy 0.16.1\r\n - Numpy 1.10.2\r\n\r\nJust to add, my master is up to date with upstream/master\r\n\r\nFollowing is the traceback:\r\n```\r\n======================================================================\r\nERROR: sklearn.neighbors.tests.test_dist_metrics.TestMetrics.test_pickle(\'wminkowski\', {\'p\': 1, \'w\': array([ 0.31179588,  0.69634349,  0.37775184,  0.17960368])})\r\n----------------------------------------------------------------------\r\nTraceback (most recent call last):\r\n  File ""/home/devashish/miniconda/lib/python2.7/site-packages/nose/case.py"", line 197, in runTest\r\n    self.test(*self.arg)\r\n  File ""/home/devashish/EXPERIMENTATION/scikit-learn/sklearn/neighbors/tests/test_dist_metrics.py"", line 128, in check_pickle\r\n    D2 = dm2.pairwise(self.X1)\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 390, in sklearn.neighbors.dist_metrics.DistanceMetric.pairwise (sklearn/neighbors/dist_metrics.c:5395)\r\n    self.pdist(get_memview_DTYPE_2D(Xarr),\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 319, in sklearn.neighbors.dist_metrics.DistanceMetric.pdist (sklearn/neighbors/dist_metrics.c:4754)\r\n    D[i1, i2] = self.dist(&X[i1, 0], &X[i2, 0], X.shape[1])\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 612, in sklearn.neighbors.dist_metrics.WMinkowskiDistance.dist (sklearn/neighbors/dist_metrics.c:7880)\r\n    return pow(self.rdist(x1, x2, size), 1. / self.p)\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 602, in sklearn.neighbors.dist_metrics.WMinkowskiDistance.rdist (sklearn/neighbors/dist_metrics.c:7744)\r\n    raise ValueError(\'WMinkowskiDistance dist: \'\r\nValueError: WMinkowskiDistance dist: size of w does not match\r\n\r\n======================================================================\r\nERROR: sklearn.neighbors.tests.test_dist_metrics.TestMetrics.test_pickle(\'wminkowski\', {\'p\': 1.5, \'w\': array([ 0.31179588,  0.69634349,  0.37775184,  0.17960368])})\r\n----------------------------------------------------------------------\r\nTraceback (most recent call last):\r\n  File ""/home/devashish/miniconda/lib/python2.7/site-packages/nose/case.py"", line 197, in runTest\r\n    self.test(*self.arg)\r\n  File ""/home/devashish/EXPERIMENTATION/scikit-learn/sklearn/neighbors/tests/test_dist_metrics.py"", line 128, in check_pickle\r\n    D2 = dm2.pairwise(self.X1)\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 390, in sklearn.neighbors.dist_metrics.DistanceMetric.pairwise (sklearn/neighbors/dist_metrics.c:5395)\r\n    self.pdist(get_memview_DTYPE_2D(Xarr),\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 319, in sklearn.neighbors.dist_metrics.DistanceMetric.pdist (sklearn/neighbors/dist_metrics.c:4754)\r\n    D[i1, i2] = self.dist(&X[i1, 0], &X[i2, 0], X.shape[1])\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 612, in sklearn.neighbors.dist_metrics.WMinkowskiDistance.dist (sklearn/neighbors/dist_metrics.c:7880)\r\n    return pow(self.rdist(x1, x2, size), 1. / self.p)\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 602, in sklearn.neighbors.dist_metrics.WMinkowskiDistance.rdist (sklearn/neighbors/dist_metrics.c:7744)\r\n    raise ValueError(\'WMinkowskiDistance dist: \'\r\nValueError: WMinkowskiDistance dist: size of w does not match\r\n\r\n======================================================================\r\nERROR: sklearn.neighbors.tests.test_dist_metrics.TestMetrics.test_pickle(\'wminkowski\', {\'p\': 3, \'w\': array([ 0.31179588,  0.69634349,  0.37775184,  0.17960368])})\r\n----------------------------------------------------------------------\r\nTraceback (most recent call last):\r\n  File ""/home/devashish/miniconda/lib/python2.7/site-packages/nose/case.py"", line 197, in runTest\r\n    self.test(*self.arg)\r\n  File ""/home/devashish/EXPERIMENTATION/scikit-learn/sklearn/neighbors/tests/test_dist_metrics.py"", line 128, in check_pickle\r\n    D2 = dm2.pairwise(self.X1)\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 390, in sklearn.neighbors.dist_metrics.DistanceMetric.pairwise (sklearn/neighbors/dist_metrics.c:5395)\r\n    self.pdist(get_memview_DTYPE_2D(Xarr),\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 319, in sklearn.neighbors.dist_metrics.DistanceMetric.pdist (sklearn/neighbors/dist_metrics.c:4754)\r\n    D[i1, i2] = self.dist(&X[i1, 0], &X[i2, 0], X.shape[1])\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 612, in sklearn.neighbors.dist_metrics.WMinkowskiDistance.dist (sklearn/neighbors/dist_metrics.c:7880)\r\n    return pow(self.rdist(x1, x2, size), 1. / self.p)\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 602, in sklearn.neighbors.dist_metrics.WMinkowskiDistance.rdist (sklearn/neighbors/dist_metrics.c:7744)\r\n    raise ValueError(\'WMinkowskiDistance dist: \'\r\nValueError: WMinkowskiDistance dist: size of w does not match\r\n\r\n======================================================================\r\nERROR: sklearn.neighbors.tests.test_dist_metrics.TestMetrics.test_pickle(\'seuclidean\', {\'V\': array([ 0.22741463,  0.25435648,  0.05802916,  0.43441663])})\r\n----------------------------------------------------------------------\r\nTraceback (most recent call last):\r\n  File ""/home/devashish/miniconda/lib/python2.7/site-packages/nose/case.py"", line 197, in runTest\r\n    self.test(*self.arg)\r\n  File ""/home/devashish/EXPERIMENTATION/scikit-learn/sklearn/neighbors/tests/test_dist_metrics.py"", line 128, in check_pickle\r\n    D2 = dm2.pairwise(self.X1)\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 390, in sklearn.neighbors.dist_metrics.DistanceMetric.pairwise (sklearn/neighbors/dist_metrics.c:5395)\r\n    self.pdist(get_memview_DTYPE_2D(Xarr),\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 319, in sklearn.neighbors.dist_metrics.DistanceMetric.pdist (sklearn/neighbors/dist_metrics.c:4754)\r\n    D[i1, i2] = self.dist(&X[i1, 0], &X[i2, 0], X.shape[1])\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 464, in sklearn.neighbors.dist_metrics.SEuclideanDistance.dist (sklearn/neighbors/dist_metrics.c:6384)\r\n    return sqrt(self.rdist(x1, x2, size))\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 454, in sklearn.neighbors.dist_metrics.SEuclideanDistance.rdist (sklearn/neighbors/dist_metrics.c:6239)\r\n    raise ValueError(\'SEuclidean dist: size of V does not match\')\r\nValueError: SEuclidean dist: size of V does not match\r\n\r\n======================================================================\r\nERROR: sklearn.neighbors.tests.test_dist_metrics.TestMetrics.test_pickle(\'mahalanobis\', {\'VI\': array([[ 0.80314541,  0.98494408,  0.59389881,  1.16113843],\r\n----------------------------------------------------------------------\r\nTraceback (most recent call last):\r\n  File ""/home/devashish/miniconda/lib/python2.7/site-packages/nose/case.py"", line 197, in runTest\r\n    self.test(*self.arg)\r\n  File ""/home/devashish/EXPERIMENTATION/scikit-learn/sklearn/neighbors/tests/test_dist_metrics.py"", line 128, in check_pickle\r\n    D2 = dm2.pairwise(self.X1)\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 390, in sklearn.neighbors.dist_metrics.DistanceMetric.pairwise (sklearn/neighbors/dist_metrics.c:5395)\r\n    self.pdist(get_memview_DTYPE_2D(Xarr),\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 319, in sklearn.neighbors.dist_metrics.DistanceMetric.pdist (sklearn/neighbors/dist_metrics.c:4754)\r\n    D[i1, i2] = self.dist(&X[i1, 0], &X[i2, 0], X.shape[1])\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 682, in sklearn.neighbors.dist_metrics.MahalanobisDistance.dist (sklearn/neighbors/dist_metrics.c:8708)\r\n  File ""sklearn/neighbors/dist_metrics.pyx"", line 664, in sklearn.neighbors.dist_metrics.MahalanobisDistance.rdist (sklearn/neighbors/dist_metrics.c:8521)\r\n    ITYPE_t size) nogil except -1:\r\nValueError: Mahalanobis dist: size of V does not match\r\n\r\n----------------------------------------------------------------------\r\nRan 6811 tests in 216.465s\r\n\r\nFAILED (SKIP=14, errors=5)\r\n```'"
6343,133275440,lesteve,GaelVaroquaux,2016-02-12 15:55:26,2016-02-16 12:13:07,2016-02-16 12:13:07,closed,,0.17.1,5,Bug;Needs Review,https://api.github.com/repos/scikit-learn/scikit-learn/issues/6343,"b'[MRG+1] Finish ""Fix memory leak in Barnes-Hut SNE"" PR'","b'A minor tidying up of #5983, as requested by @ogrisel and because @AlexanderFabisch did not have the bandwith to tackle it.\r\n\r\nCloses #5983 and fixes #5916.\r\n\r\nI used the following snippet (from @ogrisel in #5983) to make sure the memory leak was fixed.\r\n\r\n```python\r\n\r\nimport psutil\r\nimport numpy as np\r\nfrom sklearn.manifold import TSNE\r\n\r\nX = np.random.rand(10, 10)\r\np = psutil.Process()\r\n\r\nfor i in range(100000):\r\n    TSNE().fit(X)\r\n    if i % 100 == 0:\r\n        print(p.memory_info().rss / 1e6)\r\n```'"
