issue,id,reporter,closed_by,created_at,updated_at,closed_at,state,assignee,milestone,comments,label_name,url,title,body
numpy/numpy#6271,104090544,charris,charris,2015-08-31 16:56:24,2016-02-10 18:25:05,2015-09-10 18:02:38,closed,,,7,10 - Maintenance;component: numpy.core,https://api.github.com/repos/numpy/numpy/issues/6271,"b'DEP,MAINT: Change deprecated indexing to errors.'","b'The deprecated operations changed to errors are\r\n\r\n* Conversion of floats and booleans to npy_intp indexes.\r\n* Conversion of single element integer arrays of ndim > 1 to indexes.\r\n* Multiple ellipsis in index.\r\n\r\nThe affected deprecation tests have been been changed to check for\r\nraised errors instead, but remain in test_deprecations.py for the\r\nmoment. They will be moved when the conversion of the remaining indexing\r\ndeprecations is complete.'"
joblib/joblib#263,114068961,fjanoos,ogrisel,2015-10-29 15:02:08,2015-10-30 18:16:39,2015-10-30 18:16:39,closed,,,13,,https://api.github.com/repos/joblib/joblib/issues/263,b'joblib.Parallel crashes on interactively defined functions',"b'Hello,\r\n\r\nI\'m trying to parallelize an operation on the columns of pandas dataframe using joblib, using this logic:\r\n\r\n`parallel =  Parallel(n_jobs=-1, backend=\'multiprocessing\', verbose=12);`\r\n`joblist  =  [delayed(myfunc)( df[col] )  for col in columns ];`\r\n`retlist  =  parallel( joblist );`\r\n\r\nwhere myfunc takes a column and returns a column. This code used to work fine until a few ago, before I did a conda update of pandas and joblib (and some other libraries). After the update, however, the following error gets thrown:\r\n\r\n`File ""<string>"", line unknown`\r\n`SyntaxError: invalid or missing encoding declaration for \'/home/firdaus/local/software/anaconda/lib/python3.4/site-packages/pandas/lib.cpython-34m.so\'`\r\n\r\nAny suggestions would be appreciated.\r\n\r\nthanks.'"
joblib/joblib#258,112790030,mfrodl,mfrodl,2015-10-22 12:12:03,2015-11-15 11:27:10,2015-11-15 11:27:10,closed,,,2,,https://api.github.com/repos/joblib/joblib/issues/258,b'format_records attempts to tokenize .pyc file',"b""This issue was originally reported as https://github.com/scikit-learn/scikit-learn/issues/5412, but since the root cause appears to be in Joblib, let us discuss it here instead.\r\n\r\nSteps to reproduce:\r\n```python\r\n# imported.py\r\ndef raise_exc(x):\r\n    raise Exception\r\n```\r\n\r\n```python\r\n# test.py\r\nfrom joblib import delayed, Parallel\r\nfrom imported import raise_exc\r\n\r\nprint Parallel(n_jobs=2)(delayed(raise_exc)(i) for i in range(2))\r\n\r\n```\r\nNow try to run the test.py script:\r\n```\r\n$ python test.py\r\nAn unexpected error occurred while tokenizing input file /home/mfrodl/sandbox/imported.pyc\r\nThe following traceback may be corrupted or invalid\r\nThe error message is: ('EOF in multi-line statement', (4, 0))\r\n\r\nAn unexpected error occurred while tokenizing input file /home/mfrodl/sandbox/imported.pyc\r\nThe following traceback may be corrupted or invalid\r\nThe error message is: ('EOF in multi-line statement', (4, 0))\r\n\r\n...\r\n```\r\nProposed fix follows, see the original issue for a more detailed justification:\r\n```diff\r\ndiff --git a/joblib/format_stack.py b/joblib/format_stack.py\r\nindex bef5c3b..1abd496 100644\r\n--- a/joblib/format_stack.py\r\n+++ b/joblib/format_stack.py\r\n@@ -195,6 +195,10 @@ def format_records(records):   # , print_globals=False):\r\n             # the abspath call will throw an OSError.  Just ignore it and \r\n             # keep the original file string.\r\n             pass\r\n+\r\n+            if file.endswith('.pyc'):\r\n+                file = file[:-4] + '.py'\r\n+\r\n         link = file\r\n         try:\r\n             args, varargs, varkw, locals = inspect.getargvalues(frame)\r\n```"""
PyAbel/PyAbel#51,121122797,DanHickstein,DanHickstein,2015-12-08 23:15:36,2015-12-14 18:38:27,2015-12-14 18:38:27,closed,,Version 0.7,3,bug,https://api.github.com/repos/PyAbel/PyAbel/issues/51,b'Compatibility with numpy 1.10.1',"b'Numpy 1.10 apparently has stricter rules for casting floats as integers:\r\nhttps://github.com/scikit-learn/scikit-learn/issues/5397\r\n\r\nThis causes an error with PyAbel as well, specifically for the ``example_hansenlaw.py``.\r\n\r\nI think that we just need to specifically cast the numbers to the correct types, but I think I recall there is something weird going on with a half-integer origin in the case of the hansen-law transform? @stggh \r\n\r\nHere is the output from trying to run the example:\r\n\r\n```\r\nDaniels-MacBook-Pro-3:examples danhickstein$ python example_hansenlaw.py\r\nLoading data/O2-ANU1024.txt.bz2\r\nimage size 1024x1024\r\nPerforming Hansen and Law inverse Abel transform:\r\nHL: Calculating inverse Abel transform:  image size 1024x1024\r\nHL: Individual quadrants\r\nHL: Calculating inverse Abel transform ...\r\n0.29 seconds\r\nGenerating speed distribution ...\r\nTraceback (most recent call last):\r\n  File ""example_hansenlaw.py"", line 52, in <module>\r\n    recon, speeds = iabel_hansenlaw (im,quad=(False,False,False,False),verbose=True)\r\n  File ""/Users/danhickstein/Documents/PyAbel-master/abel/hansenlaw.py"", line 210, in iabel_hansenlaw\r\n    speeds = calculate_speeds(recon,origin=image_centre)\r\n  File ""/Users/danhickstein/Documents/PyAbel-master/abel/tools.py"", line 24, in calculate_speeds\r\n    polarIM, ri, thetai = reproject_image_into_polar(IM,origin)\r\n  File ""/Users/danhickstein/Documents/PyAbel-master/abel/tools.py"", line 145, in reproject_image_into_polar\r\n    x, y = index_coords(data, origin=origin)\r\n  File ""/Users/danhickstein/Documents/PyAbel-master/abel/tools.py"", line 179, in index_coords\r\n    x -= origin_x\r\nTypeError: Cannot cast ufunc subtract output from dtype(\'float64\') to dtype(\'int64\') with casting rule \'same_kind\'\r\n```\r\n\r\nThanks to @ellisje624 for pointing this out.'"
nilearn/nilearn#896,121109606,rschmaelzle,GaelVaroquaux,2015-12-08 22:03:25,2015-12-20 09:51:14,2015-12-20 09:51:14,closed,,0.2.2,9,,https://api.github.com/repos/nilearn/nilearn/issues/896,b'cast/type issue in high_variance confounds',"b'Hi All,\r\nI am hitting a cast error with this line\r\n\r\n```python\r\nhv_confounds = nilearn.image.high_variance_confounds(func_filename)\r\n```\r\nThe error goes like this\r\n```\r\n.....\r\n --> 144     signals -= np.mean(signals, axis=0)\r\n    145     if type == ""linear"":\r\n    146         # Keeping ""signals"" dtype avoids some type conversion further down,\r\n\r\nTypeError: Cannot cast ufunc subtract output from dtype(\'float64\') to dtype(\'<i2\') with casting rule \'same_kind\'\r\n....\r\n```\r\n\r\nthe versions we have installed are: nilearn 0.1.4.post1  and numpy 1.10.1\r\nAny help is much appreciated! Love nilearn!\r\nBest, Ralf.\r\n\r\nPS see this seems to relate to https://github.com/scikit-learn/scikit-learn/issues/5397\r\nPPS tried downgrading to previous numpy ""conda install numpy=1.9.1"", but then there are dependencies to scipy... '"
NixOS/nixpkgs#9146,99520362,FRidh,FRidh,2015-08-06 20:40:16,2015-10-22 14:04:35,2015-10-22 14:04:32,closed,,,8,old-label: update-package,https://api.github.com/repos/NixOS/nixpkgs/issues/9146,b'python-packages updates scipy and scikitlearn',b'Built and installed locally. Tested with Python 3.4.'
,,,,,,,,,,,,,,
nilearn/nilearn#712,95997813,lesteve,lesteve,2015-07-20 06:44:15,2015-10-27 10:29:27,2015-10-27 10:29:27,closed,,0.2,3,Documentation,https://api.github.com/repos/nilearn/nilearn/issues/712,b'Sphinx 1.3.1 auto documentation issues',b'It looks like it is missing some info for automatically generated classes/functions:\r\nhttp://nilearn.github.io/modules/reference.html#module-nilearn.decoding\r\n\r\nFor completeness the same thing happens on circleci:\r\nhttps://circle-artifacts.com/gh/nilearn/nilearn/150/artifacts/0/home/ubuntu/nilearn/doc/_build/html/modules/reference.html#module-nilearn.datasets'
sphinx-doc/sphinx#1892,78173295,Eric89GXL,shimizukawa,2015-05-19 17:10:37,2015-10-15 16:01:02,2015-07-05 03:11:36,closed,,,13,,https://api.github.com/repos/sphinx-doc/sphinx/issues/1892,b'FIX: Only check if members is True',"b'Closes #1891.\r\nCloses #1822.\r\n\r\n`check_module` should only be called if `members` is currently activated, otherwise formely working use cases like those in #1891 are broken. This is also consistent with the docs:\r\n\r\n> In an automodule directive with the members option set, only module members whose __module__ attribute is equal to the module name as given to automodule will be documented. This is to prevent documentation of imported classes or functions. Set the imported-members option if you want to prevent this behavior and document all available members. Note that attributes from imported modules will not be documented, because attribute documentation is discovered by parsing the source file of the current module.\r\n\r\nReady for review/merge from my end.'"
numpy/numpy#5533,56392018,dschallis,,2015-02-03 15:28:00,2015-06-23 07:33:45,None,open,,,29,,https://api.github.com/repos/numpy/numpy/issues/5533,b'numpy.dot cannot handle arrays with >2**31 elements without support in the underlying BLAS',"b""[The bug here is that some BLAS libraries will crash if you pass in > 16 GiB arrays, because they use 32-bit indices internally. The most obvious solution is to break the dot call into multiple calls to dgemm, though there are also [other possibilities](https://github.com/numpy/numpy/issues/5533#issuecomment-114309520). Original report follows:]\r\n\r\n---\r\n\r\nOn python 2.7.8, numpy 1.9.1, on Mac OS X:\r\n\r\n    import numpy\r\n    numpy.random.seed(1)\r\n    X = numpy.random.random((50000,100))\r\n    numpy.dot(X, X.T)\r\n\r\nResults in:\r\n\r\n    Segmentation fault: 11\r\n\r\nSegfault doesn't occur on smaller arrays (e.g. 30000x100 is fine).  In case it's useful, some linkage info:\r\n\r\n    >>> numpy.__config__.show()\r\n    atlas_threads_info:\r\n      NOT AVAILABLE\r\n    blas_opt_info:\r\n        extra_link_args = ['-Wl,-framework', '-Wl,Accelerate']\r\n        extra_compile_args = ['-msse3', '-DAPPLE_ACCELERATE_SGEMV_PATCH', '-I/System/Library/Frameworks/vecLib.framework/Headers']\r\n        define_macros = [('NO_ATLAS_INFO', 3)]\r\n    atlas_blas_threads_info:\r\n      NOT AVAILABLE\r\n    openblas_info:\r\n      NOT AVAILABLE\r\n    lapack_opt_info:\r\n        extra_link_args = ['-Wl,-framework', '-Wl,Accelerate']\r\n        extra_compile_args = ['-msse3', '-DAPPLE_ACCELERATE_SGEMV_PATCH']\r\n        define_macros = [('NO_ATLAS_INFO', 3)]\r\n    openblas_lapack_info:\r\n      NOT AVAILABLE\r\n    atlas_info:\r\n      NOT AVAILABLE\r\n    lapack_mkl_info:\r\n      NOT AVAILABLE\r\n    blas_mkl_info:\r\n      NOT AVAILABLE\r\n    atlas_blas_info:\r\n      NOT AVAILABLE\r\n    mkl_info:\r\n      NOT AVAILABLE"""
