number,issue_rel,rel_time,rel_author,rel_comment,type
6368,scipy/scipy#6365,2016-07-11 18:18:55,ev-br,0,within
6351,scipy/scipy#6323,2016-07-05 10:11:23,karischoonbee,0,within
6351,scipy/scipy#6355,2016-07-07 23:20:42,ev-br,2,within
6330,scipy/scipy#6316,2016-06-29 21:17:29,pv,0,within
6323,scipy/scipy#6318,2016-06-27 22:27:57,ev-br,2,within
6318,scipy/scipy#6323,2016-06-27 16:20:57,karischoonbee,13,within
6318,scipy/scipy#6351,2016-07-07 18:09:14,ev-br,15,within
6316,scipy/scipy#1375,2016-06-26 21:18:02,stonebig,1,within
6309,scipy/scipy#6306,2016-06-25 05:48:06,WarrenWeckesser,0,within
6306,scipy/scipy#6309,2016-06-25 05:48:53,WarrenWeckesser,3,within
6306,scipy/scipy#6309,2016-06-25 05:53:52,WarrenWeckesser,4,within
6295,scipy/scipy#6292,2016-06-21 17:21:38,ev-br,0,within
6292,scipy/scipy#6295,2016-06-21 17:22:10,ev-br,3,within
6246,scipy/scipy#6167,2016-06-11 14:55:12,pbrod,0,within
6246,scipy/scipy#6235,2016-06-11 14:55:12,pbrod,0,within
6235,scipy/scipy#6167,2016-06-10 14:18:26,pbrod,0,within
6235,scipy/scipy#6246,2016-06-17 08:43:47,rgommers,4,within
6229,scipy/scipy#6165,2016-06-08 14:39:01,ev-br,0,within
6222,scipy/scipy#5351,2016-06-07 20:24:13,ev-br,1,within
6222,scipy/scipy#6223,2016-06-07 21:04:09,ev-br,2,within
6205,scipy/scipy#2069,2016-06-03 16:04:50,WarrenWeckesser,1,within
6189,scipy/scipy#4815,2016-05-28 21:51:25,rgommers,1,within
6184,scipy/scipy#5990,2016-05-22 21:07:59,rgommers,0,within
6184,scipy/scipy#5990,2016-05-22 21:20:08,endolith,1,within
6184,scipy/scipy#5608,2016-05-23 23:47:57,endolith,3,within
6184,scipy/scipy#5990,2016-05-24 06:28:49,rgommers,5,within
6184,scipy/scipy#6090,2016-06-07 00:56:57,endolith,11,within
6184,scipy/scipy#5996,2016-06-07 01:30:26,endolith,13,within
6165,scipy/scipy#6229,2016-06-08 14:41:34,ev-br,4,within
6162,scipy/scipy#6240,2016-06-10 23:10:18,argriffing,2,within
6160,scipy/scipy#3036,2016-05-14 06:35:04,ev-br,0,within
6160,scipy/scipy#3034,2016-05-14 06:35:04,ev-br,0,within
6160,scipy/scipy#3036,2016-05-14 16:04:09,rgommers,1,within
6160,scipy/scipy#6160,2016-05-14 18:09:51,ev-br,3,within
6148,scipy/scipy#6134,2016-05-07 07:10:40,ev-br,0,within
6136,scipy/scipy#6135,2016-05-06 05:45:05,ev-br,1,within
6136,scipy/scipy#6135,2016-05-06 05:51:47,cgohlke,2,within
6136,scipy/scipy#6214,2016-06-06 22:05:13,pv,10,within
6136,scipy/scipy#6214,2016-06-11 14:05:50,rgommers,12,within
