ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
mwaskom/seaborn#909,6180,2016-05-20 19:00:39,olgabot,7,issue,,,,,['#930'],8,3,"['gepcel', 'mwaskom', 'olgabot']"
mwaskom/seaborn#930,6180,2016-05-20 19:03:16,olgabot,0,pr,,,,,[],5,2,"['olgabot', 'mwaskom']"
ContinuumIO/anaconda-issues#804,6132,2016-05-30 19:26:11,insertinterestingnamehere,3,issue,,,,,[],4,3,"['mrclary', 'jakirkham', 'insertinterestingnamehere']"
biocore/scikit-bio#1259,6100,2016-04-27 00:07:45,josef-pkt,6,issue,jairideout,2016-02-03T01:25:46Z,,close,['#1260'],8,3,"['jairideout', 'mortonjt', 'josef-pkt']"
BlueBrain/NeuroM#220,6100,,,,pr,,,,,[],12,3,"['lidakanari', 'codecov-io', 'juanchopanza']"
biocore/scikit-bio#1259,6062,2016-04-27 00:07:45,josef-pkt,6,issue,jairideout,2016-02-03T01:25:46Z,,close,['#1260'],8,3,"['jairideout', 'mortonjt', 'josef-pkt']"
EconForge/dolo#88,6044,2016-04-11 10:28:42,albop,1,issue,albop,2016-05-10T11:19:08Z,,close,[],4,2,"['albop', 'spencerlyon2']"
numpy/numpy#7509,6033,,,,issue,charris,2016-04-05T23:44:43Z,#7515,close,"['#7515', '#7793']",5,3,"['ev-br', 'seberg', 'ahaldane']"
astropy/astropy#4472,6011,,,,pr,,,,,[],27,6,"['mirca', 'crawfordsm', 'pllim', 'astronomeralex', 'mhvk', 'embray']"
numpy/numpy#593,5972,,,,issue,,,,,"['#2879', '#3199', '#3499', '#5166', '#5657']",5,3,"['numpy-gitbot', 'njsmith', 'peterjc']"
statsmodels/statsmodels#2800,5970,2016-03-14 17:03:20,ev-br,17,pr,,,,,['#2798'],19,4,"['thequackdaddy', 'josef-pkt', 'ChadFulton', 'ev-br']"
wesleybowman/UTide#30,5882,2016-04-14 12:52:32,ocefpaf,12,issue,wesleybowman,2016-04-14T17:48:08Z,#34,close,['#34'],16,3,"['saulomeirelles', 'ocefpaf', 'efiring']"
conda-forge/staged-recipes#351,5882,,,,pr,,,,,[],6,2,"['ocefpaf', 'conda-forge-admin']"
statsmodels/statsmodels#2800,5817,2016-02-11 18:30:55,ChadFulton,8,pr,,,,,['#2798'],19,4,"['thequackdaddy', 'josef-pkt', 'ChadFulton', 'ev-br']"
pydata/pandas#12199,5790,2016-02-01 21:39:18,ghego,0,issue,jreback,2016-02-01T23:58:45Z,,close,[],2,2,"['ghego', 'jreback']"
numpy/numpy#6936,5629,2016-01-04 16:04:17,ev-br,0,pr,,,,,[],4,2,"['ev-br', 'charris']"
NixOS/nixpkgs#11721,5575,2015-12-15 12:42:47,FRidh,4,pr,,,,,[],9,4,"['FRidh', 'adnelson', 'vcunat', 'domenkozar']"
hpcugent/easybuild-easyconfigs#2181,5575,2015-12-03 16:03:01,boegel,1,pr,,,,,[],7,3,"['boegel', 'hpcugentbot', 'gppezzi']"
numpy/numpy#6745,5526,2016-01-04 09:23:06,WarrenWeckesser,9,issue,,,,,"['#6902', '#6938']",15,5,"['WarrenWeckesser', 'gfyoung', 'charris', 'njsmith', 'rkern']"
numpy/numpy#2951,5430,,,,issue,charris,2014-03-25T18:05:08Z,,close,[],5,5,"['dmvianna', 'njsmith', 'pv', 'seberg', 'charris']"
JuliaLang/julia#15784,5401,2016-04-06 20:34:53,maximsch2,0,issue,andreasnoack,2016-04-09T02:29:53Z,#15796,close,['#15796'],7,4,"['maximsch2', 'andreasnoack', 'jianghaizhu', 'jiahao']"
JuliaLang/julia#15796,5401,2016-04-07 23:34:03,andreasnoack,0,pr,,,,,[],4,3,"['andreasnoack', 'nalimilan', 'tkelman']"
numpy/numpy#6467,5397,,,,issue,charris,2015-10-27T20:05:56Z,,close,"['#6208', '#6562', '#6570']",33,12,"['beckermr', 'esheldon', 'seberg', 'juliantaylor', 'charris', 'ahaldane', 'danielsf', 'JohnLonginotto', 'dkirkby', 'embray', 'mhvk', 'megies']"
numpy/numpy#6461,5331,2015-10-12 20:19:12,rgommers,0,pr,,,,,['#6569'],6,2,"['rgommers', 'charris']"
scikit-learn/scikit-learn#5333,5301,2015-10-01 14:09:17,giorgiop,1,pr,,,,,['#5772'],32,4,"['giorgiop', 'jakevdp', 'ogrisel', 'amueller']"
python-pillow/Pillow#350,5285,2015-09-24 18:21:55,pv,7,issue,,,,,"['#1727', '#1771']",8,4,"['wiredfool', 'cgohlke', 'aclark4life', 'pv']"
jjgreen/mvpoly#5,5263,2015-11-01 16:10:48,jjgreen,0,issue,jjgreen,2015-11-01T22:34:43Z,,close,[],2,1,['jjgreen']
,,,,,,,,,,,,,
numpy/numpy#6395,5197,2015-09-30 19:56:23,andsor,0,issue,,,,,[],3,3,"['andsor', 'juliantaylor', 'jjhelmus']"
Homebrew/homebrew-python#252,5173,2015-10-06 23:16:00,tdsmith,4,pr,,,,,[],6,2,"['jiegec', 'tdsmith']"
numpy/numpy#6120,5173,,,,issue,rgommers,2015-07-30T17:01:33Z,,close,"['#6126', '#6270']",12,5,"['rgommers', 'jaimefrio', 'nayyarv', 'astrofrog', 'charris']"
numpy/numpy#6270,5173,2015-08-31 02:34:39,charris,1,issue,cgohlke,2015-08-31T02:38:09Z,,close,[],2,3,"['cgohlke', 'charris', 'rgommers']"
pypa/pip#3194,5127,2015-10-20 00:31:32,njsmith,9,pr,,,,,"['#3216', '#59', '#3786']",61,9,"['jkseppan', 'njsmith', 'dstufft', 'qwcode', 'rgommers', 'jsocol', 'pfmoore', 'xavfernandez', 'BrownTruck']"
brian-team/brian2#639,5127,2016-01-28 09:59:06,mstimberg,6,pr,,,,,['#637'],9,2,"['rcaze', 'mstimberg']"
ContinuumIO/anaconda-issues#642,5127,2016-01-28 09:53:50,mstimberg,0,issue,ilanschnell,2016-02-04T05:01:02Z,,close,[],2,2,"['mstimberg', 'ilanschnell']"
TUW-GEO/pytesmo#58,5094,2015-08-26 14:07:34,cpaulik,2,issue,cpaulik,2015-08-26T16:51:03Z,c2be417,close,[],3,1,['cpaulik']
pysal/pysal#726,5077,2015-12-16 02:55:29,ljwolf,0,issue,sjsrey,2016-03-07T19:41:26Z,,close,[],11,4,"['ljwolf', 'sjsrey', 'MridulS', 'dfolch']"
nipy/dipy#652,4895,2015-05-19 23:45:15,argriffing,0,pr,,,,,[],13,5,"['argriffing', 'arokem', 'pv', 'Garyfallidis', 'alexbrc']"
numpy/numpy#5895,4895,,,,issue,,,,,[],1,1,['pv']
numpy/numpy#6892,4885,2015-12-28 18:37:28,Eric89GXL,2,pr,charris,2015-12-28T18:50:55Z,ecbcbe0,merge,[],7,3,"['Eric89GXL', 'charris', 'rgommers']"
numpy/numpy#5232,4813,,,,issue,jaimefrio,2014-10-26T13:16:03Z,,close,[],4,4,"['markwmuller', 'argriffing', 'juliantaylor', 'jaimefrio']"
cython/cython#56,4736,,,,pr,robertwb,2011-08-21T04:34:05Z,237050b,merge,[],1,2,"['markflorisson', 'robertwb']"
numpy/numpy#5906,4736,2015-06-03 21:06:40,insertinterestingnamehere,35,issue,,,,,[],37,8,"['njsmith', 'argriffing', 'pv', 'xianyi', 'tkelman', 'juliantaylor', 'insertinterestingnamehere', 'nalimilan']"
nipy/dipy#688,4643,2015-08-26 23:26:29,arokem,7,issue,hassemlal,2015-10-15T18:46:26Z,,close,"['#707', '#708']",18,5,"['hassemlal', 'arokem', 'hanke', 'stefanv', 'Garyfallidis']"
nipy/dipy#688,4523,2015-08-26 23:26:29,arokem,7,issue,hassemlal,2015-10-15T18:46:26Z,,close,"['#707', '#708']",18,5,"['hassemlal', 'arokem', 'hanke', 'stefanv', 'Garyfallidis']"
numpy/numpy#5365,4410,,,,pr,,,,,"['#5316', '#5656', '#6377']",18,6,"['cournape', 'juliantaylor', 'pv', 'charris', 'njsmith', 'rgommers']"
ContinuumIO/anaconda-issues#245,4400,2015-01-23 05:00:48,xiaoweiz,0,issue,xiaoweiz,2015-02-08T11:15:23Z,,close,[],2,1,['xiaoweiz']
argriffing/scipy#3,4293,,,,pr,argriffing,2014-12-18T19:39:25Z,b5aeaf5,merge,[],1,2,"['larsmans', 'argriffing']"
scikit-learn/scikit-learn#4014,4293,2014-12-27 19:45:33,argriffing,0,issue,argriffing,2014-12-28T19:23:05Z,,close,[],2,2,"['argriffing', 'rgommers']"
biocore/scikit-bio#514,4293,2014-12-18 23:49:01,anderspitman,5,issue,jairideout,2015-02-19T17:13:04Z,3759071,close,['#853'],10,6,"['wasade', 'smdabdoub', 'anderspitman', 'jairideout', 'johnchase', 'ebolyen']"
biocore/scikit-bio#514,4290,2014-12-18 17:20:54,anderspitman,4,issue,jairideout,2015-02-19T17:13:04Z,3759071,close,['#853'],10,6,"['wasade', 'smdabdoub', 'anderspitman', 'jairideout', 'johnchase', 'ebolyen']"
numpy/numpy#5365,4241,,,,pr,,,,,"['#5316', '#5656', '#6377']",18,6,"['cournape', 'juliantaylor', 'pv', 'charris', 'njsmith', 'rgommers']"
numpy/numpy#5352,4238,2014-12-06 21:48:11,argriffing,0,issue,,,,,[],2,1,['argriffing']
TUW-GEO/pytesmo#51,4233,2015-07-08 16:14:39,cpaulik,0,issue,cpaulik,2015-07-08T23:57:55Z,426d3dc,close,[],1,1,['cpaulik']
numpy/numpy#2951,4106,,,,issue,charris,2014-03-25T18:05:08Z,,close,[],5,5,"['dmvianna', 'njsmith', 'pv', 'seberg', 'charris']"
Homebrew/homebrew-python#110,4105,2014-11-23 14:07:05,pv,5,issue,,,,,[],9,6,"['samueljohn', 'iMichka', 'tdsmith', 'michaelwimmer', 'pv', 'seanfarley']"
flame/blis#42,4105,2016-03-01 19:11:31,insertinterestingnamehere,18,pr,,,,,['#43'],23,4,"['insertinterestingnamehere', 'njsmith', 'tkelman', 'jeffhammond']"
numpy/numpy#5223,4105,,,,pr,,,,,"['#5752', '#6349']",6,3,"['sturlamolden', 'charris', 'juliantaylor']"
